Date;CC;CD;CHos;CCuEI;CCtotalEI;CC1;CD1;CHos1;CCuEI1;CCtotalEI1;CC2;CD2;CHos2;CCuEI2;CCtotalEI2;CI14days;
05-Apr-2021;4087174.5098591344;123829.95436376611;532030.5789124215;4546398.889730766;8633573.3995899;3160625.259641011;103782.88786616929;455500.20402574295;4064002.2231268384;7224627.482767848;926549.2502181234;20047.06649759682;76530.37488667856;482396.6666039276;1408945.916822051;494.98469803896427;
05-Apr-2021;4090019.34912383;123906.59741491466;532264.3955161591;4546501.184544483;8636520.533668313;3160869.9463128606;103792.96207500543;455520.17258307413;4063893.4268289977;7224763.373141859;929149.4028109695;20113.635339909233;76744.22293308502;482607.7577154856;1411757.1605264551;492.61829265930754;
05-Apr-2021;4092834.4338552933;123983.13687776112;532497.5118319945;4546629.523002628;8639463.956857922;3161110.2708067875;103802.96205083524;455539.9329869597;4063787.877209386;7224898.148016173;931724.1630485056;20180.174826925882;76957.57884503478;482841.64579324203;1414565.8088417477;490.2100266943266;
05-Apr-2021;4095619.7750103446;124059.57174074871;532729.918102998;4546784.029156264;8642403.80416661;3161346.2888961188;103812.88820237959;455559.48669629375;4063685.535498531;7225031.82439465;934273.4861142259;20246.683538369114;77170.43140670427;483098.493657733;1417371.979771959;487.7599561888343;
05-Apr-2021;4098375.399095221;124135.90096968439;532961.6056562307;4546964.817897194;8645340.216992415;3161578.0565210115;103822.74093688096;455578.8352173887;4063586.3627108666;7225164.419231879;936797.3425742094;20313.16003280342;77382.77043884201;483378.4551863271;1420175.7977605364;485.2730181251198;
06-Apr-2021;4101102.031923604;124212.12283142001;533192.2239881633;4547171.272388722;8648273.304312326;3161805.686682199;103832.52062328586;455597.9614835576;4063490.2593723186;7225295.946054517;939296.3452414052;20379.602208134158;77594.26250460571;483681.0130164032;1422977.3582578083;482.7951297814771;
06-Apr-2021;4103801.738372793;124288.23221471648;533421.7674550759;4547401.011749312;8651202.750122104;3162029.4010174684;103842.2274475215;455616.86728206323;4063396.988140558;7225426.389158026;941772.3373553246;20446.004767194987;77804.90017301257;484004.0236087539;1425776.3609640785;480.3307363073;
06-Apr-2021;4106475.898025303;124364.22473712513;533650.5742035846;4547652.718666261;8654128.616691563;3162249.3606825937;103851.86163621575;455635.57305163145;4063306.4039400234;7225555.764622617;944226.5373427094;20512.363100909377;78015.00115195315;484346.3147262374;1428572.8520689467;477.8433104347998;
06-Apr-2021;4109124.563336433;124440.09943050535;533878.639371245;4547926.451724503;8657051.015060935;3162465.614706002;103861.42360154618;455654.0804483073;4063218.472616053;7225684.087322054;946658.948630431;20578.675828959167;78224.55892293781;484707.9791084502;1431366.927738881;475.3329457603195;
06-Apr-2021;4111747.797295046;124515.85532035487;534105.9589156439;4548222.26330045;8659970.060595496;3162678.2120952574;103870.91375456618;455672.3911580793;4063133.1599519406;7225811.372047198;949069.5851997884;20644.94156578869;78433.5677575646;485089.1033485092;1434158.6885482979;472.7997522764412;
06-Apr-2021;4114345.67272591;124591.49142866845;534332.5295746403;4548540.19999021;8662885.872716121;3162887.201797905;103880.3325052826;455690.50689425605;4063050.431700285;7225937.63349819;951458.470928005;20711.158923385858;78642.02268038433;485489.7682899253;1436948.2392179305;470.24385518629526;
