Date;Caused by E;Caused by I;Caused by Iu;Caused by H;Caused by E1;Caused by I1;Caused by Iu1;Caused by H1;Caused by E2;Caused by I2;Caused by Iu2;Caused by H2;
10-Dec-2020;1236451.0349392185;2434404.299143711;1154003.3168166243;338612.23691040074;1236450.8103005541;2434404.224929148;1154003.3126446945;338612.23651155306;0.22463866444812275;0.07421456335434058;0.004171929753184048;3.988476623478913E-4;
10-Dec-2020;1237986.345663552;2437923.4548417986;1156445.91340899;338986.1248080034;1237986.0870862133;2437923.365599777;1156445.9080026469;338986.12429465516;0.2585773386794978;0.08924202156166543;0.005406343235267131;5.133482560928145E-4;
10-Dec-2020;1239525.0396261173;2441447.1026812783;1158897.1977614698;339357.2334424764;1239524.7475063528;2441446.9962649345;1158897.1908828684;339357.2327937032;0.2921197645250861;0.10641634363459157;0.006878601379692004;6.487732398222331E-4;
10-Dec-2020;1241067.0936449661;2444975.357845367;1161356.8330323957;339725.57683680457;1241066.768343121;2444975.232208125;1161356.8244154851;339725.57602930797;0.32530184509825905;0.12563724225782122;0.008616910538615472;8.074966167514514E-4;
10-Dec-2020;1242612.4837590347;2448508.3298907597;1163824.4906995753;340091.1689380382;1242612.125601032;2448508.1830802765;1163824.480052506;340091.1679463899;0.358158002703062;0.14681048331447993;0.010647069160827114;9.916483199005526E-4;
10-Dec-2020;1244161.18526343;2452046.1228731293;1166299.8502866921;340454.02360698575;1244160.7945421839;2452045.9530255557;1166299.8372940617;340454.0224038538;0.3907212462104482;0.1698475734189861;0.012992630367365587;0.0012031319079614637;
11-Dec-2020;1245713.1788851041;2455588.8354711994;1168782.5990986296;340814.15460858366;1245712.749719668;2455588.6408057366;1168782.5834235747;340814.1531649425;0.42916543620875086;0.19466546289341224;0.015675054809992935;0.001443641118936619;
11-Dec-2020;1247268.443645918;2459136.5616698856;1171273.6363083285;341172.0423615007;1247267.9702325677;2459136.340006969;1171273.6175889226;341172.04064610956;0.47341335024112935;0.22166291691703024;0.018719405968331475;0.001715391121484405;
11-Dec-2020;1248826.9622892723;2462689.391007581;1173773.9249053053;341528.1641359704;1248826.445037227;2462689.1397878006;1173773.9027482984;341528.16211482167;0.5172520455586417;0.25121978035448356;0.022157006907679258;0.002021148768011757;
11-Dec-2020;1250388.7285600952;2466247.408934181;1176283.2859604983;341882.5273201113;1250388.1678355;2466247.125712737;1176283.259940955;341882.5249566285;0.5607245950704053;0.28322144396309934;0.026019543151036793;0.0023634827660616404;
11-Dec-2020;1251953.7357717897;2469810.6975816037;1178801.5450866334;342235.1392400659;1251953.1318994537;2469810.3800212294;1178801.5147504187;342235.13649535005;0.6038723360975463;0.317560374227342;0.03033621472266132;0.0027447158082620614;
11-Dec-2020;1253521.9768238452;2473379.3358398452;1181328.5322944452;342586.00715495105;1253521.3300888918;2473378.9817040972;1181328.4971605444;342586.0039880091;0.6467349534766467;0.3541357479027122;0.03513390070743401;0.003166941935048659;
12-Dec-2020;1255093.4687660036;2476953.399431889;1183864.0818531327;342935.13825210923;1255092.7548680184;2476953.006578784;1183864.0414158183;342935.13462006644;0.713897985257528;0.3928531049434441;0.04043731438282759;0.003632042813765784;
12-Dec-2020;1256668.2053215597;2480532.962923378;1186408.3490626418;343282.8726771653;1256667.4003538727;2480532.527394418;1186408.3027774303;343282.86853363155;0.8049676871088878;0.4355289602778453;0.04628521161672319;0.004143533766803634;
12-Dec-2020;1258246.159390274;2484118.098039522;1188961.5076486182;343629.5498977365;1258245.2643581182;2484117.6141491747;1188961.4549048066;343629.54519039154;0.8950321557675945;0.48389034696615824;0.05274381160810545;0.004707345009557642;
12-Dec-2020;1259827.3305436987;2487708.8721129703;1191523.432483572;343975.17568204465;1259826.346358396;2487708.3344379077;1191523.3725947442;343975.17035222834;0.9841853026050574;0.5376750624991923;0.059888827824818525;0.005329816324938863;
12-Dec-2020;1261411.7179927104;2491305.350210833;1194094.0017039217;344319.7557447404;1261410.6454755126;2491304.753574098;1194093.9339135264;344319.7497279737;1.072517197812224;0.5966367350654618;0.06779039536112702;0.006016766725249815;
12-Dec-2020;1262999.3206019804;2494907.5951815215;1196673.0966110101;344663.29574411013;1262998.1604877247;2494906.9346375125;1196673.0200975814;344663.2889705806;1.1601142556190447;0.6605440091376245;0.07651342873080114;0.006773529520613013;
13-Dec-2020;1264590.1369037605;2498515.667701161;1199260.6015748277;345005.8012794334;1264588.8898443494;2498514.938521389;1199260.515456868;345005.79367444816;1.247059411134205;0.7291797720244757;0.0861179596414364;0.007604985289151017;
13-Dec-2020;1266184.1586990226;2502129.626217634;1201854.334157926;345347.28839574225;1266182.825266786;2502128.8238772145;1201854.237507884;345347.27988012007;1.333432236802755;0.8023404194213145;0.09665004206840712;0.00851562218021314;
13-Dec-2020;1267781.3644854205;2505749.526226461;1204452.0233489585;345687.77437870495;1267779.945176394;2505748.646391309;1204451.9152007876;345687.76486915984;1.4193090264747736;0.8798351520622169;0.10814817082649412;0.009509545133788253;
13-Dec-2020;1269381.725631317;2509375.4194259876;1207053.3810844775;346027.26724279864;1269380.2208683542;2509374.457940685;1207053.2604317428;346027.2566523233;1.5047629627080321;0.9614853025884949;0.1206527347968717;0.010590475337970995;
13-Dec-2020;1270985.212733263;2513007.353553216;1209658.1256097385;346365.7749284814;1270983.6228689633;2513006.306429517;1209657.9914097905;346365.76316668413;1.5898642996414196;1.047123699181307;0.13419994797717613;0.011761797269523977;
13-Dec-2020;1272591.79564919;2516645.3724550875;1212265.981284209;346703.3052980009;1272590.1209686908;2516644.2358610244;1212265.8324620586;346703.29227141803;1.6746804991568665;1.1365940633115628;0.14882215045875674;0.013026582870928415;
14-Dec-2020;1274201.4802859316;2520289.516159967;1214876.6783933665;347039.8661314455;1274199.6842536738;2520288.2864095294;1214876.5138452759;347039.8517438313;1.7960322579231152;1.229750437738473;0.16454809056089229;0.014387614226145469;
14-Dec-2020;1275814.2271768714;2523939.8236838514;1217487.8788264475;347375.197399785;1275812.2738404665;2523938.4943749006;1217487.69741598;347375.18155169307;1.9533364049264925;1.3293089508532758;0.18141046739340438;0.015848091942063;
14-Dec-2020;1277429.9447872783;2527596.3292363496;1220097.1631213813;347709.0413139212;1277427.8354901567;2527594.891384001;1220096.9636453583;347709.02389953163;2.1092971216077796;1.437852348812115;0.1994760228953731;0.017414389594434043;
14-Dec-2020;1279048.5708197805;2531259.058446619;1222704.1068685635;348041.41002629383;1279046.3067585428;2531257.503461229;1222703.8880339607;348041.3909312052;2.264061237710784;1.554985389921796;0.21883460283813336;0.019095088672736613;
14-Dec-2020;1280670.042046141;2534928.031212626;1225308.2956933868;348372.31555593014;1280667.6242767586;2534926.350875529;1225308.056127469;348372.29465794464;2.4177693825905706;1.6803370970971767;0.23956591784395678;0.02089798548650864;
14-Dec-2020;1282294.2943567333;2538603.2618188937;1227909.3249686132;348701.769783725;1282291.7238004764;2538601.448259409;1227909.0632283231;348701.7469535776;2.570556256846122;1.8135594844496365;0.2617402901377639;0.02283014732902096;
15-Dec-2020;1283921.2628077634;2542284.7590541616;1230506.7995377772;349029.7844481136;1283918.54025687;2542282.804727815;1230506.5141184258;349029.7595501485;2.7225508933680755;1.9543263466290122;0.28541935137039903;0.024897965077614843;
15-Dec-2020;1285550.879032059;2545972.526287541;1233099.5800365473;349356.27832042443;1285548.0051552001;2545970.423955433;1233099.2693878368;349356.2512138718;2.8738768589521464;2.1023321079042034;0.3106487105194389;0.027106552642729737;
15-Dec-2020;1287183.0686128915;2549666.561270771;1235686.5065496482;349681.17109110707;1287180.043960462;2549664.3039800483;1235686.169085239;349681.1416307471;3.0246524294878747;2.2572907228818293;0.33746440923713716;0.029460359928625536;
15-Dec-2020;1288817.7537109482;2553366.8558929055;1238267.15279491;350004.4761807503;1288814.5787201033;2553364.4369582776;1238266.7868935391;350004.4442168879;3.174990844865034;2.418934627944898;0.36590137069562384;0.031963862423541836;
15-Dec-2020;1290454.855729491;2557073.3962174435;1240841.1029671836;350326.20684063283;1290451.5307289208;2557070.809203695;1240840.7069791895;350326.17221960094;3.325000570181051;2.587013748383858;0.39598799406150237;0.03462103189567469;
15-Dec-2020;1292094.2953618928;2560786.162616683;1243407.9514637573;350646.37614959676;1292090.8205763858;2560783.401322126;1243407.5237170812;350646.3387142216;3.474785507058824;2.76129455719802;0.42774667612205036;0.037435375172172006;
16-Dec-2020;1293735.9926371549;2564505.129905295;1245967.3026210335;350964.9970113021;1293732.3681919584;2564502.188346114;1245966.8414267367;350964.95660133177;3.624445196553685;2.9415591810872987;0.46119429679524454;0.04040997034186382;
16-Dec-2020;1295379.8853232393;2568230.2677582647;1248524.0492216032;351282.7053591337;1295376.1112477388;2568227.1401537107;1248523.5528009338;351282.66180529;3.7740755005186872;3.127604554113166;0.49642066936359275;0.04355384376507185;
16-Dec-2020;1297025.9475387705;2571961.5430330546;1251083.288819279;351600.13248162315;1297022.0237693633;2571958.2237913865;1251082.755290999;351600.0856052931;3.9237694071805804;3.319241668067529;0.5335282799076543;0.04687633004668869;
16-Dec-2020;1298674.1717322802;2575698.922419973;1253645.0397729345;351917.2818453982;1298670.0981153557;2575695.406125078;1253644.4672177944;351917.2314646269;4.073616924349994;3.5162948950124617;0.5725551401223853;0.05038077128150962;
16-Dec-2020;1300324.5504285186;2579442.3731163186;1256209.3196028331;352234.1568003783;1300320.3267236827;2579438.654515011;1256208.7060666005;352234.10273015144;4.223704835858214;3.718601307755254;0.6135362325633735;0.054070226856169974;
16-Dec-2020;1301977.0762239678;2583191.862815526;1258776.1450134336;352550.7605826947;1301972.7021070968;2583187.93680551;1258775.4885096983;352550.70263519994;4.374116871078435;3.9260100160130857;0.6565037352267976;0.05794749477552984;
17-Dec-2020;1303631.7417825528;2586947.359696324;1261345.5319156172;352867.09631753224;1303627.2168486863;2586943.2213147865;1261344.830428384;352867.03430240054;4.524933866407341;4.138381537381895;0.7014872330594097;0.06201513169020049;
17-Dec-2020;1305288.5358764639;2590708.8323509665;1263916.3558582007;353183.0338290509;1305283.8596426838;2590704.4767637663;1263915.607366365;353182.9675554161;4.676233779994781;4.35558720023472;0.7484918357036184;0.06627363477903056;
17-Dec-2020;1306947.4393774844;2594476.2493029856;1266487.4489304817;353498.4432236128;1306942.6112858169;2594471.671794423;1266486.6514142433;353498.3725004792;4.82809166754722;4.577508562722627;0.7975162383115485;0.07072313359784543;
17-Dec-2020;1308608.4291357729;2598249.578452581;1269058.7400815869;353813.32808056026;1308603.4485558595;2598244.7744157272;1269057.8915066842;353813.25271531875;4.980579913301085;4.804036853921072;0.8485749025214688;0.07536524149474036;
