Date;CC;CD;CHos;CCuEI;CCtotalEI;CC1;CD1;CHos1;CCuEI1;CCtotalEI1;CC2;CD2;CHos2;CCuEI2;CCtotalEI2;
09-Apr-2020;153911.36447821316;20290.537991165333;101979.64217566603;1831161.6983905581;1985073.0628687714;153911.36447821316;20290.537991165333;101979.64217566603;1831161.6983905581;1985073.0628687714;0.0;0.0;0.0;0.0;0.0;
09-Apr-2020;154564.80177573056;20398.50357952623;102388.55519001762;1834433.1538032412;1988997.955578972;154564.80177573056;20398.50357952623;102388.55519001762;1834433.1538032412;1988997.955578972;0.0;0.0;0.0;0.0;0.0;
09-Apr-2020;155215.80922892535;20505.998850893564;102794.92303824432;1837672.93011145;1992888.7393403754;155215.80922892535;20505.998850893564;102794.92303824432;1837672.93011145;1992888.7393403754;0.0;0.0;0.0;0.0;0.0;
09-Apr-2020;155864.36720559487;20613.020062476444;103198.74626645434;1840881.206234139;1996745.5734397338;155864.36720559487;20613.020062476444;103198.74626645434;1840881.206234139;1996745.5734397338;0.0;0.0;0.0;0.0;0.0;
09-Apr-2020;156510.45664529898;20719.563599635963;103600.02577177846;1844058.1629224408;2000568.6195677398;156510.45664529898;20719.563599635963;103600.02577177846;1844058.1629224408;2000568.6195677398;0.0;0.0;0.0;0.0;0.0;
10-Apr-2020;157154.0590448549;20825.625974279177;103998.7627898783;1847203.9826762413;2004358.0417210963;157154.0590448549;20825.625974279177;103998.7627898783;1847203.9826762413;2004358.0417210963;0.0;0.0;0.0;0.0;0.0;
10-Apr-2020;157793.91276818782;20931.20382320629;104394.9588791259;1850319.721570503;2008113.6343386907;157793.91276818782;20931.20382320629;104394.9588791259;1850319.721570503;2008113.6343386907;0.0;0.0;0.0;0.0;0.0;
10-Apr-2020;158428.77265792858;21036.29390633777;104788.61589036521;1853406.4331490123;2011835.2058069408;158428.77265792858;21036.29390633777;104788.61589036521;1853406.4331490123;2011835.2058069408;0.0;0.0;0.0;0.0;0.0;
10-Apr-2020;159058.65364356933;21140.893104765775;105179.73593900476;1856464.290146965;2015522.9437905343;159058.65364356933;21140.893104765775;105179.73593900476;1856464.290146965;2015522.9437905343;0.0;0.0;0.0;0.0;0.0;
10-Apr-2020;159683.5710486631;21244.998418725576;105568.32139444034;1859493.4662826285;2019177.0373312915;159683.5710486631;21244.998418725576;105568.32139444034;1859493.4662826285;2019177.0373312915;0.0;0.0;0.0;0.0;0.0;
10-Apr-2020;160303.54057847496;21348.60696557812;105954.37487380077;1862494.1362028914;2022797.6767813663;160303.54057847496;21348.60696557812;105954.37487380077;1862494.1362028914;2022797.6767813663;0.0;0.0;0.0;0.0;0.0;
11-Apr-2020;160918.57830806353;21451.715977812506;106337.89923591829;1865466.475429805;2026385.0537378686;160918.57830806353;21451.715977812506;106337.89923591829;1865466.475429805;2026385.0537378686;0.0;0.0;0.0;0.0;0.0;
11-Apr-2020;161530.11684520036;21554.3228010464;106718.8975636897;1868408.1186192909;2029938.2354644912;161530.11684520036;21554.3228010464;106718.8975636897;1868408.1186192909;2029938.2354644912;0.0;0.0;0.0;0.0;0.0;
11-Apr-2020;162139.57022932128;21656.424891785682;107097.37310094638;1871316.727600537;2033456.2978298583;162139.57022932128;21656.424891785682;107097.37310094638;1871316.727600537;2033456.2978298583;0.0;0.0;0.0;0.0;0.0;
11-Apr-2020;162746.917681006;21758.019814754047;107473.32919382393;1874192.5297889628;2036939.4474699688;162746.917681006;21758.019814754047;107473.32919382393;1874192.5297889628;2036939.4474699688;0.0;0.0;0.0;0.0;0.0;
11-Apr-2020;163352.13862537275;21859.10524006093;107846.76928251573;1877035.7539775057;2040387.8926028784;163352.13862537275;21859.10524006093;107846.76928251573;1877035.7539775057;2040387.8926028784;0.0;0.0;0.0;0.0;0.0;
11-Apr-2020;163955.21270012212;21959.678940469064;108217.69690501968;1879846.63025111;2043801.842951232;163955.21270012212;21959.678940469064;108217.69690501968;1879846.63025111;2043801.842951232;0.0;0.0;0.0;0.0;0.0;
12-Apr-2020;164556.11976329732;22059.738788778963;108586.11570065143;1882625.3899032162;2047181.5096665134;164556.11976329732;22059.738788778963;108586.11570065143;1882625.3899032162;2047181.5096665134;0.0;0.0;0.0;0.0;0.0;
12-Apr-2020;165153.69914596222;22159.282755282165;108952.02939145065;1885371.324962499;2050525.0241084613;165153.69914596222;22159.282755282165;108952.02939145065;1885371.324962499;2050525.0241084613;0.0;0.0;0.0;0.0;0.0;
12-Apr-2020;165746.80584198248;22258.30890483597;109315.44167931723;1888083.7603025998;2053830.5661445821;165746.80584198248;22258.30890483597;109315.44167931723;1888083.7603025998;2053830.5661445821;0.0;0.0;0.0;0.0;0.0;
12-Apr-2020;166335.4510393131;22356.815393210334;109676.35615228054;1890762.9698766996;2057098.4209160127;166335.4510393131;22356.815393210334;109676.35615228054;1890762.9698766996;2057098.4209160127;0.0;0.0;0.0;0.0;0.0;
12-Apr-2020;166919.64572852026;22454.80046320627;110034.77628431353;1893409.2280610062;2060328.8737895265;166919.64572852026;22454.80046320627;110034.77628431353;1893409.2280610062;2060328.8737895265;0.0;0.0;0.0;0.0;0.0;
12-Apr-2020;167499.40073800745;22552.262441025352;110390.70545666023;1896022.8095755638;2063522.2103135712;167499.40073800745;22552.262441025352;110390.70545666023;1896022.8095755638;2063522.2103135712;0.0;0.0;0.0;0.0;0.0;
13-Apr-2020;168074.72676715377;22649.199732914243;110744.14697795043;1898603.9894079233;2066678.716175077;168074.72676715377;22649.199732914243;110744.14697795043;1898603.9894079233;2066678.716175077;0.0;0.0;0.0;0.0;0.0;
13-Apr-2020;168644.75669930357;22745.610822024802;111095.10408185846;1901151.895672987;2069796.6523722906;168644.75669930357;22745.610822024802;111095.10408185846;1901151.895672987;2069796.6523722906;0.0;0.0;0.0;0.0;0.0;
13-Apr-2020;169208.63559482526;22841.49426504314;111443.57984204125;1903665.7026144764;2072874.3382093017;169208.63559482526;22841.49426504314;111443.57984204125;1903665.7026144764;2072874.3382093017;0.0;0.0;0.0;0.0;0.0;
13-Apr-2020;169766.39823051414;22936.848688239417;111789.57709562064;1906145.7476390584;2075912.1458695724;169766.39823051414;22936.848688239417;111789.57709562064;1906145.7476390584;2075912.1458695724;0.0;0.0;0.0;0.0;0.0;
13-Apr-2020;170318.07897398277;23031.672783417314;112133.09845721479;1908592.3671598597;2078910.4461338425;170318.07897398277;23031.672783417314;112133.09845721479;1908592.3671598597;2078910.4461338425;0.0;0.0;0.0;0.0;0.0;
13-Apr-2020;170863.71184371656;23125.96530422085;112474.1463530885;1911005.8965250652;2081869.6083687819;170863.71184371656;23125.96530422085;112474.1463530885;1911005.8965250652;2081869.6083687819;0.0;0.0;0.0;0.0;0.0;
14-Apr-2020;171403.33056488846;23219.725062811733;112812.72305329486;1913386.6699508042;2084790.0005156926;171403.33056488846;23219.725062811733;112812.72305329486;1913386.6699508042;2084790.0005156926;0.0;0.0;0.0;0.0;0.0;
14-Apr-2020;171938.0823307339;23312.950926900885;113148.83070730246;1915734.4200784876;2087672.5024092216;171938.0823307339;23312.950926900885;113148.83070730246;1915734.4200784876;2087672.5024092216;0.0;0.0;0.0;0.0;0.0;
14-Apr-2020;172469.09778842455;23405.641817217464;113482.47139840633;1918048.8739947008;2090517.9717831253;172469.09778842455;23405.641817217464;113482.47139840633;1918048.8739947008;2090517.9717831253;0.0;0.0;0.0;0.0;0.0;
14-Apr-2020;172996.37743909427;23497.796705474484;113813.64719371624;1920330.3644094039;2093326.7418484981;172996.37743909427;23497.796705474484;113813.64719371624;1920330.3644094039;2093326.7418484981;0.0;0.0;0.0;0.0;0.0;
14-Apr-2020;173519.9218013472;23589.414612681692;114142.36016910752;1922579.2233196793;2096099.1451210266;173519.9218013472;23589.414612681692;114142.36016910752;1922579.2233196793;2096099.1451210266;0.0;0.0;0.0;0.0;0.0;
14-Apr-2020;174039.73144003152;23680.494607664506;114468.6124272682;1924795.781948302;2098835.5133883334;174039.73144003152;23680.494607664506;114468.6124272682;1924795.781948302;2098835.5133883334;0.0;0.0;0.0;0.0;0.0;
15-Apr-2020;174555.80699317745;23771.035805762865;114792.40611456233;1926980.370684518;2101536.1776776956;174555.80699317745;23771.035805762865;114792.40611456233;1926980.370684518;2101536.1776776956;0.0;0.0;0.0;0.0;0.0;
15-Apr-2020;175068.9711508611;23861.03736770658;115113.74344249112;1929133.0414131144;2104202.0125639755;175068.9711508611;23861.03736770658;115113.74344249112;1929133.0414131144;2104202.0125639755;0.0;0.0;0.0;0.0;0.0;
15-Apr-2020;175580.0341819023;23950.49849876878;115432.62672996586;1931253.8380557932;2106833.8722376954;175580.0341819023;23950.49849876878;115432.62672996586;1931253.8380557932;2106833.8722376954;0.0;0.0;0.0;0.0;0.0;
15-Apr-2020;176088.972070574;24039.41844827308;115749.05844181044;1933343.0843391675;2109432.0564097413;176088.972070574;24039.41844827308;115749.05844181044;1933343.0843391675;2109432.0564097413;0.0;0.0;0.0;0.0;0.0;
15-Apr-2020;176595.76109949005;24127.796509308482;116063.04120156274;1935401.1034541752;2111996.8645536653;176595.76109949005;24127.796509308482;116063.04120156274;1935401.1034541752;2111996.8645536653;0.0;0.0;0.0;0.0;0.0;
15-Apr-2020;177100.37786329567;24215.63201851346;116374.5777976929;1937428.2179948408;2114528.5958581367;177100.37786329567;24215.63201851346;116374.5777976929;1937428.2179948408;2114528.5958581367;0.0;0.0;0.0;0.0;0.0;
16-Apr-2020;177602.79928162132;24302.92435591185;116683.67118925914;1939424.7498985154;2117027.549180137;177602.79928162132;24302.92435591185;116683.67118925914;1939424.7498985154;2117027.549180137;0.0;0.0;0.0;0.0;0.0;
16-Apr-2020;178101.26607488142;24389.672944816037;116990.32452205743;1941393.8063009784;2119495.0723758596;178101.26607488142;24389.672944816037;116990.32452205743;1941393.8063009784;2119495.0723758596;0.0;0.0;0.0;0.0;0.0;
16-Apr-2020;178594.04710554454;24475.87725201513;117294.54118669793;1943338.446380067;2121932.4934856114;178594.04710554454;24475.87725201513;117294.54118669793;1943338.446380067;2121932.4934856114;0.0;0.0;0.0;0.0;0.0;
16-Apr-2020;179081.17595970005;24561.53678841746;117596.32487166027;1945258.9049208986;2124340.0808805986;179081.17595970005;24561.53678841746;117596.32487166027;1945258.9049208986;2124340.0808805986;0.0;0.0;0.0;0.0;0.0;
