Date;Total Re;Re1;Re E1;Re I1;Re Iu1;Re HR1;Re HD1;Re2;Re E2;Re I2;Re Iu2;Re HR2;Re HD2;
26-May-2021;1.1851567080658647;0.8719307879541185;0.1739202643062001;0.42782739659427776;0.2451853578270855;0.022588753248168062;0.002409015978386978;1.6828264207514487;0.33566611011096614;0.8257068754269561;0.4732077406062752;0.04359629376896437;0.004649400838286868;
26-May-2021;1.1870775644304443;0.8718896212605171;0.17391337166749554;0.4278081717182453;0.24517180144042386;0.022587385095729277;0.00240889133862315;1.6827469690327985;0.33565280731826636;0.8256697714162137;0.47318157678001815;0.043593653234757494;0.00464916028354268;
27-May-2021;1.189002452063973;0.8718482673337752;0.1739064548793521;0.42778886393687526;0.24515817320449232;0.02258600924043021;0.0024087660726252475;1.6826671559541864;0.3356394579171496;0.8256325073981694;0.47315527428467025;0.04359099783403031;0.0046489185201667275;
27-May-2021;1.190931276719135;0.87180672432924;0.1738995136796422;0.4277694724163465;0.2451444724470204;0.022584625611809624;0.0024086401744212284;1.6825869779554332;0.3356260614017095;0.8255950817635488;0.47312883182274945;0.04358832743079257;0.004648675536632971;
27-May-2021;1.1928639432647659;0.8717649903875285;0.17389254780412675;0.4277499963161467;0.24513069849041083;0.02258323413885285;0.0024085136379914432;1.6825064314479306;0.3356126172619646;0.8255574928901632;0.473102248086493;0.043585641887986006;0.004648431321323486;
27-May-2021;1.1948003557008926;0.8717230636344291;0.17388555698645436;0.4277304347890198;0.24511685065169886;0.0225818347499878;0.0024083864572682643;1.6824255128144485;0.33559912498385686;0.8255197391428085;0.4730755217577789;0.04358294106747647;0.00464818586252775;
27-May-2021;1.196740417174054;0.8716809421807555;0.17387854095812807;0.4277107869809131;0.24510292824249855;0.022580427373080025;0.002408258626135722;1.682344218408858;0.3355855840491872;0.8254818188731622;0.4730486515080222;0.043580224830044464;0.004647939148441945;
27-May-2021;1.1986840299930162;0.8716386241222445;0.17387149944848776;0.42769105203092267;0.24508893056897546;0.02257901193542945;0.002408130138429136;1.6822625445559318;0.33557199393558124;0.8254437304196807;0.4730216359981227;0.043577493035378854;0.004647691167168232;
28-May-2021;1.2006310956448278;0.8715961075394568;0.17386443218470923;0.4276712290712404;0.24507485693180633;0.022577588363766256;0.002408000987934741;1.682180487551152;0.3355583541164888;0.8254054721074939;0.4729944738783862;0.043574745542068895;0.004647441906714051;
28-May-2021;1.2025815148111372;0.8715533904976288;0.1738573388917706;0.4276513172270995;0.24506070662612353;0.022576156584245888;0.0024078711683893136;1.682098043660424;0.33554466406111727;0.8253670422483023;0.4729671637884184;0.04357198220759459;0.004647191354991374;
28-May-2021;1.204535187384889;0.8715104710465672;0.17385021929243405;0.4276313156167198;0.2450464789414879;0.022574716522445738;0.002407740673479796;1.682015209119875;0.33553092323439776;0.8253284391402693;0.4729397043570715;0.043569202888320294;0.004646939499816006;
28-May-2021;1.2064920124873464;0.8714673472205482;0.17384307310724503;0.4276112233512523;0.245032173161847;0.022573268103360928;0.0024076094968429186;1.681931980135658;0.33551713109698295;0.8252896610679171;0.47291209420236463;0.04356640743948662;0.004646686328906833;
28-May-2021;1.2084518884853521;0.8714240170381653;0.17383590005449745;0.4275910395347246;0.24501778856547923;0.022571811251399284;0.0024074776320648136;1.6818483528836596;0.3355032871051801;0.8252507063020187;0.4728843319313749;0.043563595715200645;0.004646431829885091;
28-May-2021;1.2104147130089589;0.8713804785022243;0.1738286998502159;0.427570763263984;0.24500332442496595;0.022570345890377905;0.0024073450726806393;1.6817643235092934;0.3354893907109167;0.8252115730994892;0.4728564161401844;0.043560767568429394;0.004646175990273633;
29-May-2021;1.2123803829693596;0.871336729599638;0.17382147220815392;0.4275503936286425;0.24498878000714855;0.02256887194351892;0.0024072118121741828;1.6816798881273014;0.3354754413617371;0.8251722597032801;0.47282834541379665;0.043557922850991526;0.004645918797496173;
29-May-2021;1.214348794577043;0.8712927683012723;0.17381421683975914;0.42752992971101905;0.24497415457307228;0.022567389333444345;0.002407077843977484;1.6815950428214552;0.335461438500735;0.8251327643422669;0.47280011832602936;0.043555061413547605;0.004645660238876544;
29-May-2021;1.2163198433602944;0.8712485925618381;0.17380693345415454;0.4275093705860835;0.2449594473779569;0.022565897982172636;0.002406943161470433;1.6815097836443476;0.33544738156651827;0.8250930852311416;0.4727717334394568;0.04355218310559321;0.004645400301637936;
29-May-2021;1.2182934241839787;0.8712042003197851;0.17379962175813715;0.4274887153213991;0.24494465767115417;0.022564397811114335;0.002406807757980384;1.6814241066171853;0.3354332699932047;0.8250532205703003;0.4727431893053275;0.04354928777545069;0.004645138972902141;
29-May-2021;1.2202694312685245;0.8711595894971439;0.1737922814561419;0.4274679629770637;0.24492978469608967;0.022562888741066888;0.0024066716267817563;1.6813380077294882;0.33541910321035395;0.8250131685457331;0.472714484463453;0.043546375270259126;0.0046448762396887906;
29-May-2021;1.222247758209237;0.8711147579994174;0.1737849122502235;0.4274471126056534;0.2449148276902338;0.022561370692211105;0.002406534761095609;1.6812514829388756;0.3354048806429312;0.8249729273289111;0.47268561744215126;0.04354344543596745;0.004644612088914526;
30-May-2021;1.224228297995864;0.8710697037154688;0.17377751384005324;0.4274261632521621;0.24489978588505726;0.02255984358410674;0.002406397154089376;1.6811645281708547;0.3353906017113028;0.8249324950766731;0.47265658675816036;0.043540498117326035;0.0046443465073924975;
