Date;Total Re;Re1;Re E1;Re I1;Re Iu1;Re HR1;Re HD1;
25-Mar-2021;0.8831199122623551;0.8831199122623551;0.17607618258684243;0.43323442858737865;0.2484671352856487;0.022901598794872496;0.0024405670076128347;
25-Mar-2021;0.8830904504496324;0.8830904504496324;0.17606995858794605;0.43321983272299125;0.2484592797900706;0.02290089091214416;0.002440488436480406;
25-Mar-2021;0.8830610340924605;0.8830610340924605;0.1760637440991248;0.4332052593479369;0.24845143652307947;0.022900184134998582;0.002440409987320811;
26-Mar-2021;0.8830316631321237;0.8830316631321237;0.17605753910834251;0.43319070843332574;0.2484436054685196;0.02289947846196165;0.002440331659974168;
26-Mar-2021;0.8830023375099461;0.8830023375099461;0.17605134360357122;0.4331761799502874;0.24843578661024646;0.022898773891560226;0.0024402534542806924;
26-Mar-2021;0.8829730571672882;0.8829730571672882;0.1760451575727904;0.43316167386996907;0.24842797993212584;0.022898070422322288;0.002440175370080705;
26-Mar-2021;0.8829438220455668;0.8829438220455668;0.17603898100400395;0.4331471901635369;0.2484201854180346;0.022897368052776777;0.0024400974072146244;
26-Mar-2021;0.8829146320862342;0.8829146320862342;0.17603281388522243;0.43313272880217507;0.24841240305186;0.02289666678145372;0.002440019565522973;
26-Mar-2021;0.8828854872307799;0.8828854872307799;0.1760266562044631;0.43311828975708583;0.2484046328175004;0.02289596660688415;0.0024399418448463753;
27-Mar-2021;0.8828563874207465;0.8828563874207465;0.1760205079497661;0.43310387299948977;0.24839687469886484;0.02289526752760021;0.0024398642450255575;
27-Mar-2021;0.8828273325977126;0.8828273325977126;0.1760143691091777;0.43308947850062524;0.24838912867987328;0.022894569542135007;0.0024397867659013486;
27-Mar-2021;0.8827983227032925;0.8827983227032925;0.17600823967074977;0.4330751062317486;0.24838139474445678;0.02289387264902279;0.0024397094073146824;
27-Mar-2021;0.8827693576791528;0.8827693576791528;0.17600211962255632;0.43306075616413414;0.24837367287655682;0.022893176846798778;0.002439632169106592;
27-Mar-2021;0.8827404374669945;0.8827404374669945;0.17599600895267642;0.4330464282690741;0.24836596306012645;0.02289248213399931;0.0024395550511182177;
27-Mar-2021;0.8827115620085537;0.8827115620085537;0.175989907649194;0.433032122517878;0.24835826527912921;0.022891788509161754;0.0024394780531908017;
28-Mar-2021;0.8826827312456186;0.8826827312456186;0.17598381570021446;0.43301783888187373;0.24835057951754005;0.022891095970824577;0.002439401175165691;
28-Mar-2021;0.8826539451200103;0.8826539451200103;0.1759777330938476;0.4330035773324064;0.24834290575934473;0.02289040451752725;0.0024393244168843375;
28-Mar-2021;0.8826252035735853;0.8826252035735853;0.17597165981820728;0.43298933784083915;0.24833524398854023;0.02288971414781039;0.0024392477781882975;
28-Mar-2021;0.8825965065482504;0.8825965065482504;0.17596559586142832;0.43297512037855257;0.24832759418913464;0.02288902486021563;0.00243917125891923;
28-Mar-2021;0.8825678539859462;0.8825678539859462;0.17595954121164922;0.4329609249169451;0.24831995634514725;0.022888336653285702;0.0024390948589189053;
28-Mar-2021;0.8825392458286468;0.8825392458286468;0.17595349585701217;0.4329467514274326;0.24831233044060844;0.022887649525564414;0.002439018578029193;
29-Mar-2021;0.8825106820183772;0.8825106820183772;0.1759474597856796;0.4329325998814488;0.24830471645956004;0.022886963475596676;0.002438942416092073;
29-Mar-2021;0.8824821624971952;0.8824821624971952;0.17594143298581735;0.4329184702504448;0.24829711438605492;0.022886278501928436;0.0024388663729496304;
29-Mar-2021;0.8824536872071921;0.8824536872071921;0.1759354154455942;0.43290436250588965;0.2482895242041574;0.02288559460310678;0.002438790448444058;
29-Mar-2021;0.8824252560905096;0.8824252560905096;0.17592940715319907;0.4328902766192699;0.24828194589794314;0.022884911777679852;0.0024387146424176523;
29-Mar-2021;0.8823968690893221;0.8823968690893221;0.17592340809682352;0.4328762125620897;0.24827437945149908;0.022884230024196903;0.002438638954712822;
29-Mar-2021;0.8823685261458373;0.8823685261458373;0.1759174182646621;0.43286217030587104;0.2482668248489237;0.022883549341208287;0.0024385633851720825;
30-Mar-2021;0.8823402272023126;0.8823402272023126;0.1759114376449286;0.43284814982215364;0.24825928207432682;0.02288286972726545;0.002438487933638055;
30-Mar-2021;0.8823119722010386;0.8823119722010386;0.17590546622583972;0.4328341510824947;0.2482517511118298;0.022882191180920927;0.0024384125999534698;
30-Mar-2021;0.8822837610843387;0.8822837610843387;0.17589950399561427;0.4328201740584694;0.2482442319455654;0.022881513700728388;0.0024383373839611685;
30-Mar-2021;0.8822555937945864;0.8822555937945864;0.17589355094249057;0.4328062187216708;0.24823672455967824;0.022880837285242598;0.0024382622855041005;
30-Mar-2021;0.8822274702741874;0.8822274702741872;0.17588760705470896;0.4327922850437093;0.2482292289383242;0.022880161933019436;0.002438187304425325;
30-Mar-2021;0.8821993904655809;0.8821993904655809;0.17588167232051224;0.43277837299621386;0.24822174506567085;0.022879487642615885;0.00243811244056801;
31-Mar-2021;0.8821713543112557;0.8821713543112557;0.175875746728162;0.43276448255083055;0.24821427292589754;0.02287881441259006;0.002438037693775436;
31-Mar-2021;0.8821433617537338;0.8821433617537338;0.17586983026592215;0.43275061367922424;0.24820681250319518;0.022878142241501195;0.002437963063890993;
31-Mar-2021;0.8821154127355696;0.8821154127355696;0.1758639229220582;0.43273676635307695;0.24819936378176652;0.02287747112790962;0.0024378885507581817;
31-Mar-2021;0.8820875071993676;0.8820875071993676;0.175858024684855;0.43272294054408916;0.24819192674582594;0.022876801070376852;0.0024378141542206154;
31-Mar-2021;0.8820596450877654;0.8820596450877654;0.1758521355425988;0.4327091362239794;0.24818450137959983;0.02287613206746546;0.0024377398741220165;
31-Mar-2021;0.8820318263434337;0.8820318263434337;0.17584625548357802;0.4326953533644841;0.24817708766732602;0.02287546411773923;0.002437665710306224;
01-Apr-2021;0.8820040509090923;0.8820040509090923;0.1758403844960996;0.43268159193735795;0.24816968559325467;0.022874797219762988;0.0024375916626171836;
01-Apr-2021;0.8819763187274957;0.8819763187274957;0.1758345225684724;0.43266785191437407;0.24816229514164745;0.02287413137210279;0.0024375177308989604;
01-Apr-2021;0.8819486297414297;0.8819486297414297;0.1758286696890068;0.4326541332673233;0.24815491629677822;0.022873466573325753;0.0024374439149957273;
01-Apr-2021;0.881920983893732;0.881920983893732;0.17582282584603195;0.43264043596801544;0.24814754904293254;0.022872802822000205;0.002437370214751773;
01-Apr-2021;0.8818933811272719;0.8818933811272719;0.1758169910278786;0.4326267599882781;0.2481401933644082;0.022872140116695555;0.0024372966300115003;
01-Apr-2021;0.8818658213849536;0.8818658213849536;0.17581116522287907;0.4326131052999577;0.24813284924551496;0.022871478455982433;0.0024372231606194245;
02-Apr-2021;0.8818383046097302;0.8818383046097302;0.1758053484193843;0.4325994718749187;0.24812551667057448;0.022870817838432537;0.0024371498064201776;
02-Apr-2021;0.8818108307445893;0.8818108307445893;0.1757995406057468;0.4325858596850445;0.2481181956239207;0.0228701582626188;0.0024370765672585056;
02-Apr-2021;0.8817833997325517;0.8817833997325517;0.1757937417703206;0.4325722687022369;0.2481108860898997;0.02286949972711524;0.0024370034429792684;
02-Apr-2021;0.8817560115166888;0.8817560115166888;0.1757879519014783;0.43255869889841647;0.2481035880528695;0.0228688422304971;0.002436930433427444;
02-Apr-2021;0.8817286660401059;0.8817286660401059;0.175782170987594;0.43254515024552237;0.2480963014972006;0.022868185771340723;0.0024368575384481252;
02-Apr-2021;0.8817013632459412;0.8817013632459412;0.17577639901704334;0.43253162271551227;0.24808902640727537;0.022867530348223673;0.00243678475788652;
03-Apr-2021;0.8816741030773851;0.8816741030773851;0.1757706359782205;0.43251811628036324;0.24808176276748883;0.02286687595972462;0.002436712091587954;
03-Apr-2021;0.881646885477661;0.881646885477661;0.17576488185952102;0.43250463091207064;0.24807451056224794;0.02286622260442348;0.0024366395393978705;
03-Apr-2021;0.8816197103900266;0.8816197103900266;0.17575913664934217;0.43249116658264924;0.2480672697759721;0.022865570280901255;0.00243656710116183;
03-Apr-2021;0.881592577757791;0.881592577757791;0.17575340033609957;0.4324777232641326;0.24806004039309312;0.022864918987740204;0.002436494776725508;
03-Apr-2021;0.881565487524297;0.881565487524297;0.17574767290821033;0.4324643009285733;0.24805282239805507;0.022864268723523686;0.0024364225659347003;
03-Apr-2021;0.8815384396329224;0.8815384396329224;0.17574195435409315;0.432450899548043;0.2480456157753146;0.022863619486836313;0.0024363504686353205;
04-Apr-2021;0.881511434027096;0.881511434027096;0.1757362446621853;0.43243751909463307;0.2480384205093404;0.022862971276263806;0.0024362784846734017;
04-Apr-2021;0.881484470650281;0.881484470650281;0.17573054382092534;0.43242415954045327;0.2480312365846143;0.02286232409039314;0.0024362066138950934;
04-Apr-2021;0.8814575494459762;0.8814575494459762;0.17572485181875366;0.43241082085763344;0.2480240639856299;0.022861677927812418;0.0024361348561466674;
