Date;Caused by E;Caused by I;Caused by Iu;Caused by H;Caused by E1;Caused by I1;Caused by Iu1;Caused by H1;
27-Dec-2020;1397317.6165785606;2806204.5273449407;1404030.5946245757;368035.1497492826;1397317.6165785606;2806204.5273449407;1404030.5946245757;368035.1497492826;
27-Dec-2020;1398584.0081582598;2809364.5495742564;1406336.127513072;368274.4809781615;1398584.0081582598;2809364.5495742564;1406336.127513072;368274.4809781615;
27-Dec-2020;1399847.716404106;2812519.635960739;1408652.2400506677;368517.5843714439;1399847.716404106;2812519.635960739;1408652.2400506677;368517.5843714439;
27-Dec-2020;1401108.8512268648;2815669.742733786;1410978.9111220231;368764.4720216562;1401108.8512268648;2815669.742733786;1410978.9111220231;368764.4720216562;
27-Dec-2020;1402367.5195337879;2818814.8360481407;1413316.1190955434;369015.15586146247;1402367.5195337879;2818814.8360481407;1413316.1190955434;369015.15586146247;
28-Dec-2020;1403623.8253491574;2821954.89142655;1415663.8419730533;369269.64767458243;1403623.8253491574;2821954.89142655;1415663.8419730533;369269.64767458243;
28-Dec-2020;1404877.8572583608;2825089.893040002;1418017.350309341;369527.62863107456;1404877.8572583608;2825089.893040002;1418017.350309341;369527.62863107456;
28-Dec-2020;1406129.6755705075;2828219.8316952083;1420371.7212348857;369788.7659386797;1406129.6755705075;2828219.8316952083;1420371.7212348857;369788.7659386797;
28-Dec-2020;1407379.3247010617;2831344.702592735;1422726.5508023466;370053.04333738884;1407379.3247010617;2831344.702592735;1422726.5508023466;370053.04333738884;
28-Dec-2020;1408626.8458524519;2834464.5044622472;1425081.4450815748;370320.44447685935;1408626.8458524519;2834464.5044622472;1425081.4450815748;370320.44447685935;
28-Dec-2020;1409872.2771619176;2837579.2391999853;1427436.02000653;370590.9529249376;1409872.2771619176;2837579.2391999853;1427436.02000653;370590.9529249376;
29-Dec-2020;1411115.6538431216;2840688.9115295275;1429789.901218559;370864.55217579345;1411115.6538431216;2840688.9115295275;1429789.901218559;370864.55217579345;
29-Dec-2020;1412357.0026863413;2843793.5285989637;1432142.9642258636;371138.7617220713;1412357.0026863413;2843793.5285989637;1432142.9642258636;371138.7617220713;
29-Dec-2020;1413596.3368023206;2846893.0990203973;1434495.1030618683;371411.1096464981;1413596.3368023206;2846893.0990203973;1434495.1030618683;371411.1096464981;
29-Dec-2020;1414833.6617451229;2849987.631854332;1436845.9894522259;371681.59669609775;1414833.6617451229;2849987.631854332;1436845.9894522259;371681.59669609775;
29-Dec-2020;1416068.981366056;2853077.1362462756;1439195.3034753301;371950.2238300464;1416068.981366056;2853077.1362462756;1439195.3034753301;371950.2238300464;
29-Dec-2020;1417302.2978997908;2856161.621293573;1441542.7333894693;372216.992213805;1417302.2978997908;2856161.621293573;1441542.7333894693;372216.992213805;
30-Dec-2020;1418533.6120467614;2859241.095923235;1443887.9754615242;372481.90321324853;1418533.6120467614;2859241.095923235;1443887.9754615242;372481.90321324853;
30-Dec-2020;1419762.9249778478;2862315.5688093626;1446231.5576239172;372744.9008026552;1419762.9249778478;2862315.5688093626;1446231.5576239172;372744.9008026552;
30-Dec-2020;1420990.240366863;2865385.048500545;1448574.0445263474;373005.9283555029;1420990.240366863;2865385.048500545;1448574.0445263474;373005.9283555029;
30-Dec-2020;1422215.5625801303;2868449.5435932614;1450915.2125516913;373264.9862337387;1422215.5625801303;2868449.5435932614;1450915.2125516913;373264.9862337387;
30-Dec-2020;1423438.8948271484;2871509.0627071573;1453254.843467735;373522.07499466214;1423438.8948271484;2871509.0627071573;1453254.843467735;373522.07499466214;
30-Dec-2020;1424660.239217708;2874563.614395675;1455592.7243183414;373777.1953859101;1424660.239217708;2874563.614395675;1455592.7243183414;373777.1953859101;
31-Dec-2020;1425879.5968165607;2877613.2070640097;1457928.64731551;374030.3483404674;1425879.5968165607;2877613.2070640097;1457928.64731551;374030.3483404674;
31-Dec-2020;1427096.9554220769;2880657.8487061244;1460258.2375414819;374280.82922103454;1427096.9554220769;2880657.8487061244;1460258.2375414819;374280.82922103454;
31-Dec-2020;1428312.2773247273;2883697.5453760265;1462576.9863784136;374527.9457591908;1428312.2773247273;2883697.5453760265;1462576.9863784136;374527.9457591908;
31-Dec-2020;1429525.5116178228;2886732.299450726;1464884.429541899;374771.7237315226;1429525.5116178228;2886732.299450726;1464884.429541899;374771.7237315226;
31-Dec-2020;1430736.6065446085;2889762.109232136;1467180.1192241719;375012.18893730076;1430736.6065446085;2889762.109232136;1467180.1192241719;375012.18893730076;
31-Dec-2020;1431945.509582074;2892786.9690171806;1469463.6236678;375249.3671865327;1431945.509582074;2892786.9690171806;1469463.6236678;375249.3671865327;
01-Jan-2021;1433152.1675208122;2895806.869172011;1471734.5267524838;375483.28428867995;1433152.1675208122;2895806.869172011;1471734.5267524838;375483.28428867995;
01-Jan-2021;1434356.540156469;2898821.7964199358;1473995.2420113864;375716.5537043719;1434356.540156469;2898821.7964199358;1473995.2420113864;375716.5537043719;
01-Jan-2021;1435558.6137381063;2901831.7355381907;1476248.2813933631;375951.76907500107;1435558.6137381063;2901831.7355381907;1476248.2813933631;375951.76907500107;
01-Jan-2021;1436758.3870617966;2904836.671267053;1478493.4364247958;376188.91656643694;1436758.3870617966;2904836.671267053;1478493.4364247958;376188.91656643694;
01-Jan-2021;1437955.8577993966;2907836.5887208595;1480730.5047679762;376427.98234133975;1437955.8577993966;2907836.5887208595;1480730.5047679762;376427.98234133975;
01-Jan-2021;1439151.0225593413;2910831.4732897202;1482959.2900997738;376668.95256109774;1439151.0225593413;2910831.4732897202;1482959.2900997738;376668.95256109774;
02-Jan-2021;1440343.8769448253;2913821.3105491386;1485179.6019913848;376911.8133876317;1440343.8769448253;2913821.3105491386;1485179.6019913848;376911.8133876317;
02-Jan-2021;1441534.4200497102;2916806.08624549;1487394.9961766752;377154.58882103063;1441534.4200497102;2916806.08624549;1487394.9961766752;377154.58882103063;
02-Jan-2021;1442722.6591813148;2919785.7867536875;1489609.141075251;377395.3077205307;1442722.6591813148;2919785.7867536875;1489609.141075251;377395.3077205307;
02-Jan-2021;1443908.605798931;2922760.3996397345;1491822.074033508;377633.9660360429;1443908.605798931;2922760.3996397345;1491822.074033508;377633.9660360429;
02-Jan-2021;1445092.2712000832;2925729.9137662402;1494033.8313874889;377870.5598552019;1445092.2712000832;2925729.9137662402;1494033.8313874889;377870.5598552019;
02-Jan-2021;1446273.666526544;2928694.319237317;1496244.4484956898;378105.08540278603;1446273.666526544;2928694.319237317;1496244.4484956898;378105.08540278603;
03-Jan-2021;1447452.8027700882;2931653.6073457547;1498453.9597707323;378337.53904004354;1447452.8027700882;2931653.6073457547;1498453.9597707323;378337.53904004354;
03-Jan-2021;1448629.6798756495;2934607.770352336;1500658.8458817839;378567.13170265034;1448629.6798756495;2934607.770352336;1500658.8458817839;378567.13170265034;
03-Jan-2021;1449804.2758996119;2937556.800138744;1502855.4841603423;378793.0850907907;1449804.2758996119;2937556.800138744;1502855.4841603423;378793.0850907907;
03-Jan-2021;1450976.558004126;2940500.686685122;1505043.7045176362;379015.41720584966;1450976.558004126;2940500.686685122;1505043.7045176362;379015.41720584966;
03-Jan-2021;1452146.4934007858;2943439.4177390905;1507223.3420745858;379234.1461320837;1452146.4934007858;2943439.4177390905;1507223.3420745858;379234.1461320837;
03-Jan-2021;1453314.0493649002;2946372.9788934067;1509394.2370270232;379449.29003030184;1453314.0493649002;2946372.9788934067;1509394.2370270232;379449.29003030184;
04-Jan-2021;1454479.1932490834;2949301.35366216;1511556.234515359;379660.86713192763;1454479.1932490834;2949301.35366216;1511556.234515359;379660.86713192763;
04-Jan-2021;1455641.8993631303;2952224.523663196;1513712.0963822808;379868.7207372659;1455641.8993631303;2952224.523663196;1513712.0963822808;379868.7207372659;
04-Jan-2021;1456802.155867856;2955142.4695109646;1515864.6687766768;380072.6870528576;1456802.155867856;2955142.4695109646;1515864.6687766768;380072.6870528576;
04-Jan-2021;1457959.9579357158;2958055.1718232175;1518013.9675898175;380272.77024510375;1457959.9579357158;2958055.1718232175;1518013.9675898175;380272.77024510375;
04-Jan-2021;1459115.300888514;2960962.6114810673;1520160.008116328;380468.9746566623;1459115.300888514;2960962.6114810673;1520160.008116328;380468.9746566623;
04-Jan-2021;1460268.180192859;2963864.76963182;1522302.8050679567;380661.30480443;1460268.180192859;2963864.76963182;1522302.8050679567;380661.30480443;
05-Jan-2021;1461418.591455804;2966761.6276913653;1524442.3725871318;380849.7653775434;1461418.591455804;2966761.6276913653;1524442.3725871318;380849.7653775434;
05-Jan-2021;1462566.540543084;2969653.1675062357;1526580.599203766;381036.51347499905;1462566.540543084;2969653.1675062357;1526580.599203766;381036.51347499905;
05-Jan-2021;1463712.0535216844;2972539.3725602594;1528719.4249673865;381223.70296342834;1463712.0535216844;2972539.3725602594;1528719.4249673865;381223.70296342834;
05-Jan-2021;1464855.1662767231;2975420.22932911;1530858.9656149375;381411.3321529194;1464855.1662767231;2975420.22932911;1530858.9656149375;381411.3321529194;
05-Jan-2021;1465995.9143131888;2978295.7275199983;1532999.3345927796;381599.39935494197;1465995.9143131888;2978295.7275199983;1532999.3345927796;381599.39935494197;
05-Jan-2021;1467134.3327697117;2981165.859936147;1535140.643128178;381787.90288481757;1467134.3327697117;2981165.859936147;1535140.643128178;381787.90288481757;
06-Jan-2021;1468270.4564316913;2984030.622346783;1537283.0002988242;381976.8410640742;1468270.4564316913;2984030.622346783;1537283.0002988242;381976.8410640742;
06-Jan-2021;1469404.3177860228;2986890.013331296;1539425.8943047943;382166.05013388477;1469404.3177860228;2986890.013331296;1539425.8943047943;382166.05013388477;
06-Jan-2021;1470535.945079696;2989744.0339256893;1541568.7934932446;382355.3659544453;1470535.945079696;2989744.0339256893;1541568.7934932446;382355.3659544453;
06-Jan-2021;1471665.364295416;2992592.687242635;1543711.7654728373;382544.78610171884;1471665.364295416;2992592.687242635;1543711.7654728373;382544.78610171884;
06-Jan-2021;1472792.6011219646;2995435.9783091876;1545854.8764650559;382734.30817771156;1472792.6011219646;2995435.9783091876;1545854.8764650559;382734.30817771156;
06-Jan-2021;1473917.680964014;2998273.9139811927;1547998.1913512356;382923.92981167545;1473917.680964014;2998273.9139811927;1547998.1913512356;382923.92981167545;
07-Jan-2021;1475040.6289515155;3001106.5028612693;1550141.7737180747;383113.64866123;1475040.6289515155;3001106.5028612693;1550141.7737180747;383113.64866123;
07-Jan-2021;1476129.6682978487;3003855.282201534;1552221.8892649717;383297.8343600843;1476129.6682978487;3003855.282201534;1552221.8892649717;383297.8343600843;
07-Jan-2021;1477184.040275815;3006520.3307451224;1554234.2228051105;383476.1289083483;1477184.040275815;3006520.3307451224;1554234.2228051105;383476.1289083483;
07-Jan-2021;1478234.7871161227;3009180.140977044;1556238.1344257891;383653.80379460595;1478234.7871161227;3009180.140977044;1556238.1344257891;383653.80379460595;
07-Jan-2021;1479281.9302130188;3011834.6055318317;1558233.44354463;383830.85939581884;1479281.9302130188;3011834.6055318317;1558233.44354463;383830.85939581884;
07-Jan-2021;1480325.4881067662;3014483.619640489;1560219.9723489678;384007.29587210884;1480325.4881067662;3014483.619640489;1560219.9723489678;384007.29587210884;
08-Jan-2021;1481365.4775819958;3017127.0833710665;1562197.5477188672;384183.11334336473;1481365.4775819958;3017127.0833710665;1562197.5477188672;384183.11334336473;
08-Jan-2021;1482401.9043717927;3019764.901183986;1564162.3319612623;384358.0120941535;1482401.9043717927;3019764.901183986;1564162.3319612623;384358.0120941535;
08-Jan-2021;1483434.75387922;3022396.9805316427;1566110.3952424547;384531.69661437254;1483434.75387922;3022396.9805316427;1566110.3952424547;384531.69661437254;
08-Jan-2021;1484464.0006905845;3025023.2303282255;1568041.3905364154;384704.17540595477;1484464.0006905845;3025023.2303282255;1568041.3905364154;384704.17540595477;
08-Jan-2021;1485489.6180832232;3027643.5604573945;1569954.9867234072;384875.456951877;1485489.6180832232;3027643.5604573945;1569954.9867234072;384875.456951877;
08-Jan-2021;1486511.5781378096;3030257.8816413446;1571850.8682801072;385045.5497177167;1486511.5781378096;3030257.8816413446;1571850.8682801072;385045.5497177167;
09-Jan-2021;1487529.8518457322;3032866.105322797;1573728.734972812;385214.462153018;1487529.8518457322;3032866.105322797;1573728.734972812;385214.462153018;
09-Jan-2021;1488544.418577023;3035468.143711232;1575591.9746606967;385382.4904019439;1488544.418577023;3035468.143711232;1575591.9746606967;385382.4904019439;
09-Jan-2021;1489555.275482376;3038063.910809708;1577444.0738643531;385549.9263078486;1489555.275482376;3038063.910809708;1577444.0738643531;385549.9263078486;
09-Jan-2021;1490562.4281168894;3040653.3235910544;1579284.9389314125;385716.7697034827;1490562.4281168894;3040653.3235910544;1579284.9389314125;385716.7697034827;
09-Jan-2021;1491565.8811047734;3043236.3021597583;1581114.4795799975;385883.02040823194;1491565.8811047734;3043236.3021597583;1581114.4795799975;385883.02040823194;
09-Jan-2021;1492565.6381932693;3045812.7695778133;1582932.6088783094;386048.678231181;1492565.6381932693;3045812.7695778133;1582932.6088783094;386048.678231181;
10-Jan-2021;1493561.702304298;3048382.6517004445;1584739.2432214646;386213.742973949;1493561.702304298;3048382.6517004445;1584739.2432214646;386213.742973949;
10-Jan-2021;1494554.0824608747;3050945.8771338696;1586537.001793576;386378.4248193806;1494554.0824608747;3050945.8771338696;1586537.001793576;386378.4248193806;
10-Jan-2021;1495542.8006652407;3053502.3779136445;1588328.5669241191;386542.93265900214;1495542.8006652407;3053502.3779136445;1588328.5669241191;386542.93265900214;
10-Jan-2021;1496527.8849945278;3056052.0902914456;1590113.9822096776;386707.2637023224;1496527.8849945278;3056052.0902914456;1590113.9822096776;386707.2637023224;
10-Jan-2021;1497509.3627361904;3058594.9547783015;1591893.2897898322;386871.4151478245;1497509.3627361904;3058594.9547783015;1591893.2897898322;386871.4151478245;
10-Jan-2021;1498487.2604207972;3061130.9159438587;1593666.530417825;387035.3841864923;1498487.2604207972;3061130.9159438587;1593666.530417825;387035.3841864923;
11-Jan-2021;1499461.603853403;3063659.922224767;1595433.7435278557;387199.168005119;1499461.603853403;3063659.922224767;1595433.7435278557;387199.168005119;
11-Jan-2021;1500432.4181435646;3066181.92574178;1597194.9672991638;387362.76378940995;1500432.4181435646;3066181.92574178;1597194.9672991638;387362.76378940995;
11-Jan-2021;1501399.7277340586;3068696.8821251756;1598950.2387170503;387526.1687268891;1501399.7277340586;3068696.8821251756;1598950.2387170503;387526.1687268891;
11-Jan-2021;1502363.5564283568;3071204.7503481265;1600699.593630977;387689.3800096204;1502363.5564283568;3071204.7503481265;1600699.593630977;387689.3800096204;
11-Jan-2021;1503323.9274169155;3073705.492567662;1602443.0668098805;387852.3948367523;1503323.9274169155;3073705.492567662;1602443.0668098805;387852.3948367523;
11-Jan-2021;1504280.8633023289;3076199.07397288;1604180.6919948312;388015.21041689615;1504280.8633023289;3076199.07397288;1604180.6919948312;388015.21041689615;
12-Jan-2021;1505234.3861233953;3078685.4626400834;1605912.501949159;388177.8239703454;1505234.3861233953;3078685.4626400834;1605912.501949159;388177.8239703454;
12-Jan-2021;1506184.5173781456;3081164.629394533;1607638.5285061651;388340.2327311453;1506184.5173781456;3081164.629394533;1607638.5285061651;388340.2327311453;
12-Jan-2021;1507131.2780458767;3083636.5476785144;1609358.802614533;388502.43394902046;1507131.2780458767;3083636.5476785144;1609358.802614533;388502.43394902046;
