Date;New E from E;New E From I;New E From Iu;New E From HR;New E From HD;New E (total);New Cases;New Hos;New Deaths;New E from E1;New E From I1;New E From Iu1;New E From HR1;New E From HD1;New E (total)1;New Cases1;New Hos1;New Deaths1;
19-Jan-2020;0.37999102740020096;0.0;0.0;0.0;0.0;2.3799910274002007;0.0;0.0;0.0;0.37999102740020096;0.0;0.0;0.0;0.0;2.3799910274002007;0.0;0.0;0.0;
19-Jan-2020;0.3809886568483432;0.029788869861499204;4.3341831081082497E-4;3.812826681819174E-5;1.1285868868189363E-5;0.4112603591563395;9.62985664787209E-4;7.563529659455296E-4;2.8778102951210583E-6;0.3809886568483432;0.029788869861499204;4.3341831081082497E-4;3.812826681819174E-5;1.1285868868189363E-5;0.4112603591563395;9.62985664787209E-4;7.563529659455296E-4;2.8778102951210583E-6;
19-Jan-2020;0.38294789920127503;0.058717101178315904;0.0017059584791772296;1.5041757048410876E-4;4.420416546797415E-5;0.44356558059472023;0.0018981494444817422;0.0014908539292315067;1.1271724322416947E-5;0.38294789920127503;0.058717101178315904;0.0017059584791772296;1.5041757048410876E-4;4.420416546797415E-5;0.44356558059472023;0.0018981494444817422;0.0014908539292315067;1.1271724322416947E-5;
19-Jan-2020;0.38587337864068355;0.08688837927078524;0.0037788922572022324;3.3395194677128575E-4;9.743973018782017E-5;0.47697204184563013;0.0028088431776223184;0.0022061355074687976;2.4846386454690076E-5;0.38587337864068355;0.08688837927078524;0.0037788922572022324;3.3395194677128575E-4;9.743973018782017E-5;0.47697204184563013;0.0028088431776223184;0.0022061355074687976;2.4846386454690076E-5;
19-Jan-2020;0.38977166731071694;0.11440342880033415;0.006617151152094293;5.861090228975711E-4;1.6979712292234582E-4;0.5115481534089653;0.0036983229934551306;0.0029047551458021375;4.32969686251358E-5;0.38977166731071694;0.11440342880033415;0.006617151152094293;5.861090228975711E-4;1.6979712292234582E-4;0.5115481534089653;0.0036983229934551306;0.0029047551458021375;4.32969686251358E-5;
19-Jan-2020;0.3946513245626706;0.14136026489705217;0.010189177472014156;9.045494042034208E-4;2.6019457351363057E-4;0.5473655109094541;0.004569757430144763;0.003589201493155522;6.63476277361929E-5;0.3946513245626706;0.14136026489705217;0.010189177472014156;9.045494042034208E-4;2.6019457351363057E-4;0.5473655109094541;0.004569757430144763;0.003589201493155522;6.63476277361929E-5;
20-Jan-2020;0.40052293905774694;0.1678544392387021;0.014466785279121005;0.0012872068158844507;3.676583168690634E-4;0.5844990287083235;0.005426235389780286;0.0042619006502924535;9.375006115799677E-5;0.40052293905774694;0.1678544392387021;0.014466785279121005;0.0012872068158844507;3.676583168690634E-4;0.5844990287083235;0.005426235389780286;0.0042619006502924535;9.375006115799677E-5;
20-Jan-2020;0.40739917392240144;0.19397928147813667;0.019425030928065662;0.0017322789786844701;4.913172965090023E-4;0.6230270826037971;0.00627077394300929;0.0049252222997702285;1.252821561736444E-4;0.40739917392240144;0.19397928147813667;0.019425030928065662;0.0017322789786844701;4.913172965090023E-4;0.6230270826037971;0.00627077394300929;0.0049252222997702285;1.252821561736444E-4;
20-Jan-2020;0.41529481515259886;0.21982613641837118;0.025042092885572412;0.0022382191987120616;6.303982211286179E-4;0.6630316618763831;0.007106325996206475;0.005581485727925429;1.6074672944040415E-4;0.41529481515259886;0.21982613641837118;0.025042092885572412;0.0022382191987120616;6.303982211286179E-4;0.6630316618763831;0.007106325996206475;0.005581485727925429;1.6074672944040415E-4;
20-Jan-2020;0.4242268234658021;0.2454845973369418;0.031299160543893166;0.0028037286527919396;7.842209595638953E-4;0.7045985309589929;0.007935787834160287;0.006232965749088179;1.9997035274142662E-4;0.4242268234658021;0.2454845973369418;0.031299160543893166;0.0028037286527919396;7.842209595638953E-4;0.7045985309589929;0.007935787834160287;0.006232965749088179;1.9997035274142662E-4;
20-Jan-2020;0.4342143898027003;0.2710427358637006;0.03818033175781547;0.0034277493520022285;9.521942603327922E-4;0.7478174010365514;0.008762006551342653;0.006881898542286799;2.4280226150166795E-4;0.4342143898027003;0.2710427358637006;0.03818033175781547;0.0034277493520022285;9.521942603327922E-4;0.7478174010365514;0.008762006551342653;0.006881898542286799;2.4280226150166795E-4;
20-Jan-2020;0.44527899468455284;0.29658732881891614;0.04567251885156956;0.00410945776728094;0.0011338117826799308;0.7927821119049995;0.009587787384914713;0.007530487410773447;2.8911334273486276E-4;0.44527899468455284;0.29658732881891614;0.04567251885156956;0.00410945776728094;0.0011338117826799308;0.7927821119049995;0.009587787384914713;0.007530487410773447;2.8911334273486276E-4;
21-Jan-2020;0.457444471636569;0.32220408242150606;0.053765362858419256;0.004848259102209995;0.001328648426787879;0.839590824445492;0.010415900962717028;0.00818090847477646;3.387951992757225E-4;0.457444471636569;0.32220408242150606;0.053765362858419256;0.004848259102209995;0.001328648426787879;0.839590824445492;0.010415900962717028;0.00818090847477646;3.387951992757225E-4;
21-Jan-2020;0.4707370748929816;0.3479778542804685;0.06245115577194852;0.005643782199303842;0.001536356951530987;0.8883462240962334;0.0112490904795976;0.00883531630796741;3.917592873333205E-4;0.4707370748929816;0.3479778542804685;0.06245115577194852;0.005643782199303842;0.001536356951530987;0.8883462240962334;0.0112490904795976;0.00883531630796741;3.917592873333205E-4;
