Date;CC;CD;CHos;CCuEI;CCtotalEI;CC1;CD1;CHos1;CCuEI1;CCtotalEI1;
27-Apr-2021;3454829.1601619693;115633.95192515857;504806.3074568984;4593506.645279715;8048335.805441684;3454829.1601619693;115633.95192515857;504806.3074568984;4593506.645279715;8048335.805441684;
27-Apr-2021;3455404.458006869;115651.52803983972;504876.99808313616;4593864.092194472;8049268.5502013415;3455404.458006869;115651.52803983972;504876.99808313616;4593864.092194472;8049268.5502013415;
27-Apr-2021;3455978.234557416;115669.05948797229;504947.501777941;4594220.607855654;8050198.84241307;3455978.234557416;115669.05948797229;504947.501777941;4594220.607855654;8050198.84241307;
27-Apr-2021;3456550.4916457054;115686.54632726806;505017.8187664346;4594576.195086745;8051126.68673245;3456550.4916457054;115686.54632726806;505017.8187664346;4594576.195086745;8051126.68673245;
27-Apr-2021;3457121.2312423163;115703.98861530685;505087.94929075486;4594930.856638487;8052052.087880803;3457121.2312423163;115703.98861530685;505087.94929075486;4594930.856638487;8052052.087880803;
27-Apr-2021;3457690.455448225;115721.3864096652;505157.89360906254;4595284.595193409;8052975.0506416345;3457690.455448225;115721.3864096652;505157.89360906254;4595284.595193409;8052975.0506416345;
28-Apr-2021;3458258.166487127;115738.73976803348;505227.6519945977;4595637.413370073;8053895.579857199;3458258.166487127;115738.73976803348;505227.6519945977;4595637.413370073;8053895.579857199;
28-Apr-2021;3458824.366514647;115756.04874826502;505297.22471223614;4595987.874201488;8054812.240716134;3458824.366514647;115756.04874826502;505297.22471223614;4595987.874201488;8054812.240716134;
28-Apr-2021;3459389.0574426427;115773.31340819626;505366.61199690046;4596337.416701733;8055726.474144376;3459389.0574426427;115773.31340819626;505366.61199690046;4596337.416701733;8055726.474144376;
28-Apr-2021;3459952.2411373653;115790.53380548602;505435.8140779091;4596686.043655387;8056638.284792752;3459952.2411373653;115790.53380548602;505435.8140779091;4596686.043655387;8056638.284792752;
28-Apr-2021;3460513.9196021487;115807.70999769385;505504.8312014249;4597033.757775164;8057547.677377312;3460513.9196021487;115807.70999769385;505504.8312014249;4597033.757775164;8057547.677377312;
28-Apr-2021;3461074.0949693792;115824.84204240637;505573.6636294681;4597380.56170639;8058454.65667577;3461074.0949693792;115824.84204240637;505573.6636294681;4597380.56170639;8058454.65667577;
29-Apr-2021;3461632.769492864;115841.92999735216;505642.31163897895;4597726.458031236;8059359.227524101;3461632.769492864;115841.92999735216;505642.31163897895;4597726.458031236;8059359.227524101;
29-Apr-2021;3462189.945394587;115858.97392046047;505710.77550298703;4598070.303920512;8060260.249315099;3462189.945394587;115858.97392046047;505710.77550298703;4598070.303920512;8060260.249315099;
