Date;S;V1;V2;V3;V4;E;I;Iu;HR;HD;Q;R;D;Du;E1;I1;Iu1;HR1;HD1;Q1;R1;D1;Du1;E2;I2;Iu2;HR2;HD2;Q2;R2;D2;Du2;
22-Feb-2021;5.142641104848206E7;1261074.5385175566;37506.971993691106;3.4724259393392014;0.0;149888.95571444146;132598.8827397667;104124.61496634319;18181.50209889461;4805.819876783258;365557.6249932435;2611615.972308184;104768.25910399559;9191.80786792696;62911.81227426262;64701.64139335215;64795.4705429168;12627.777648804788;2357.695312852822;274501.4525157009;2526384.358662226;98481.5323435467;9191.80786792696;86977.14344017884;67897.24134641456;39329.144423426376;5553.724450089821;2448.1245639304366;91056.17247754257;85231.6136459583;6286.726760448882;0.0;
22-Feb-2021;5.1417685120701104E7;1264700.7228185488;37919.141239700904;3.4539532309044945;0.0;150032.2324839869;132721.12119366956;103565.474666346;18170.993056274707;4824.885640644547;366091.327277172;2614068.0827793977;104832.00840418787;9191.80786792696;62621.735459168754;64451.107950306825;64264.39961260638;12585.653762836246;2357.5488428794843;274162.3097457617;2528223.1970183006;98512.74442577187;9191.80786792696;87410.49702481815;68270.01324336273;39301.075053739616;5585.33929343846;2467.3367977650623;91929.01753141033;85844.88576109707;6319.263978415996;0.0;
22-Feb-2021;5.140894595473548E7;1268326.6963725071;38331.285309229694;3.4354813827582698;0.0;150184.5045175961;132843.75700868806;103036.17313350641;18160.727004704517;4844.042452456084;366605.4310407725;2616523.7049568375;104895.82966056323;9191.80786792696;62335.53549195277;64200.20086473779;63749.39979466036;12543.61325556737;2357.372181356481;273810.7755424391;2530059.7205808763;98543.86608060237;9191.80786792696;87848.96902564332;68643.55614395028;39286.773338846055;5617.113749137145;2486.6702710996024;92794.65549833346;86463.984375961;6351.963579960862;0.0;
22-Feb-2021;5.140019322471962E7;1271952.4562720517;38743.4042001463;3.417010399115371;0.0;150345.82716987014;132967.0460660634;102536.2021948401;18150.701801861935;4863.290007907057;367100.0467971945;2618982.707842593;104959.72366373011;9191.80786792696;62053.1657437457;63949.047225361326;63250.10374418201;12501.65465830394;2357.1650683913213;273446.9969155514;2531893.8467832482;98574.89741905531;9191.80786792696;88292.66142612445;69017.99884070206;39286.09845065809;5649.047143557997;2506.1249395157356;93653.04988164308;87088.8610593448;6384.826244674802;0.0;
23-Feb-2021;5.139128667022359E7;1275910.8409731418;39245.66869790495;3.4668709275670144;0.0;150515.16180362148;133091.23757904986;102061.58058449338;18140.915712343067;4882.614444956723;367578.7882723618;2621444.9729204867;105023.69110476885;9191.80786792696;61774.08018997575;63697.768599276256;62764.483967761305;12459.77672050379;2356.9222644018164;273072.7956703862;2533725.4996571667;98605.8385151609;9191.80786792696;88741.08161364573;69393.4689797736;39297.09661673207;5681.138991839277;2525.6921805549064;94505.99260197561;87719.47326332025;6417.852589607946;0.0;
23-Feb-2021;5.138167178637278E7;1280201.891240886;39838.080612181395;3.5850595211766403;0.0;150682.8042825671;133216.38894572546;101587.67526723979;18131.36729749293;4901.961482694254;368066.18020318676;2623910.4759799754;105087.7322233098;9191.80786792696;61494.11537241496;63446.39998386896;62280.6716405672;12417.97835312784;2356.623768564283;272699.95595883473;2535554.648834542;98636.68927725975;9191.80786792696;89188.68891015212;69769.9889618565;39307.00362667259;5713.388944365088;2545.337714129971;95366.22424435201;88355.82714543353;6451.042946050047;0.0;
23-Feb-2021;5.137205343717716E7;1284492.7445901218;40430.464006627146;3.703241774447882;0.0;150849.03237015274;133342.41218799597;101121.32598717464;18122.055064317676;4921.399960739394;368555.2342247444;2626379.251583403;105151.84735086646;9191.80786792696;61213.69677024814;63194.92132607467;61801.927208143665;12376.258466775469;2356.294831666738;272325.1281717539;2537381.2922155284;98667.44964831264;9191.80786792696;89635.3355999046;70147.49086192131;39319.39877903097;5745.796597542207;2565.105129072656;96230.10605299051;88997.95936787475;6484.397702553817;0.0;
23-Feb-2021;5.136243165518819E7;1288783.3361334729;41022.8119556848;3.8214173527752;0.0;151013.97211186524;133469.2384721496;100662.3982317067;18112.97742835329;4940.929769853963;369045.96379951236;2628851.3109168336;105216.03726414873;9191.80786792696;60932.88039976152;62943.32355413668;61328.16575875806;12334.615964687582;2355.9352916017488;271948.31480407715;2539205.4164824774;98698.11973528279;9191.80786792696;90081.0917121037;70525.91491801292;39334.23247294863;5778.361463665709;2584.994478252215;97097.64899543523;89645.89443435623;6517.917528865939;0.0;
23-Feb-2021;5.135280636047606E7;1293073.6627574672;41615.12453064593;3.939586214031073;0.0;151177.74368426608;133596.8048891137;100210.75922208992;18104.1327289446;4960.550761222656;369538.3809749313;2631326.665251827;105280.30273171033;9191.80786792696;60651.72005416072;62691.599529653395;60859.3038604486;12293.049749745593;2355.544985375569;271569.51814811997;2541027.008333785;98728.69964213073;9191.80786792696;90526.02363010537;70905.20535946029;39351.45536164133;5811.082979199009;2605.005775847086;97968.86282681131;90299.65691804203;6551.603089579597;0.0;
23-Feb-2021;5.13431774751641E7;1297363.7213302918;42207.40180653204;4.057748318068118;0.0;151340.46166131634;133725.05408929937;99766.27794633973;18095.51923861677;4980.262750685099;370032.4965052764;2633805.3259363617;105344.64451355432;9191.80786792696;60370.267394690076;62439.743919304696;60395.25955395985;12251.558727498561;2355.123749978623;271188.7403328919;2542846.054482664;98759.18946984179;9191.80786792696;90970.19426662625;71285.31016999467;39371.01839237988;5843.960511118209;2625.139000706475;98843.75617238451;90959.2714536978;6585.4550437125245;0.0;
24-Feb-2021;5.133350337028786E7;1301795.313114808;42785.13980580117;4.707588865969306;0.0;151501.17765630636;133853.9339372539;99325.36862535567;18087.135171810987;5000.052198861802;370531.7898518112;2636287.3160158223;105409.06327491588;9191.80786792696;60088.102109306456;62187.75307347031;59934.3464458658;12210.141808953305;2354.6666997987886;270807.5939826333;2544662.5470541497;98789.58928601856;9191.80786792696;91413.0755469999;71666.18086378358;39391.02217948987;5876.993362857684;2645.3854990630134;99724.19586917787;91624.76896167287;6619.473988897331;0.0;
24-Feb-2021;5.132362831196848E7;1306368.4509807993;43348.34555560151;5.889080626046037;0.0;151645.43782047197;133983.16709691714;98837.1250567273;18078.978581962823;5019.866123502096;371087.40736605105;2638772.841613184;105473.55924768795;9191.80786792696;59798.900060386564;61935.52359487098;59452.97591058433;12168.79786033249;2354.1550641774156;270449.75126603595;2546476.5629148805;98819.89900555651;9191.80786792696;91846.5377600854;72047.64350204615;39384.149146142954;5910.180721630331;2665.7110593246807;100637.6561000151;92296.27869830378;6653.66024213145;0.0;
24-Feb-2021;5.1313770924931705E7;1310941.3208688963;43911.52390939222;7.070506933406579;0.0;151768.25529599751;134112.14166748486;98282.43093193581;18071.04683180242;5039.770804212202;371719.06670904683;2641262.346351095;105538.13274614957;9191.80786792696;59500.6652526483;61682.808093935695;58942.558535277945;12127.525453166874;2353.612368066469;270124.06506727595;2548288.2879387205;98850.11857419691;9191.80786792696;92267.5900433492;72429.33357354916;39339.87239665788;5943.521378635549;2686.158436145733;101595.00164177091;92974.05841237448;6688.014171952653;0.0;
24-Feb-2021;5.130393189829964E7;1315513.8973716283;44474.668484397385;8.251863020481096;0.0;151869.64164898248;134240.2271290014;97662.35264349997;18063.336371327663;5059.765244246437;372426.39829619555;2643756.338696991;105602.78450049525;9191.80786792696;59193.600041985985;61429.35630323189;58403.91076402287;12086.322765808216;2353.0382228252915;269830.01715624874;2550097.9359330027;98880.24808644582;9191.80786792696;92676.0416069965;72810.8708257695;39258.44187947709;5977.013605519447;2706.727021421145;102596.38113994678;93658.40276398855;6722.53641404943;0.0;
24-Feb-2021;5.129411183172033E7;1320086.1778559803;45037.77889153948;9.43314777564205;0.0;151949.64898904128;134366.81458855575;96977.93289599984;18055.842766911548;5079.848065569398;373209.0198524987;2646255.324598463;105667.51521976887;9191.80786792696;58877.91655251708;61174.93233906077;57837.83310760629;12045.1876045426;2352.432129562188;269567.08613678324;2551905.7172207674;98910.28763036855;9191.80786792696;93071.73243652418;73191.88224949499;39140.099788393556;6010.655162368948;2727.41593600721;103641.93371571547;94349.60737769525;6757.227589400329;0.0;
24-Feb-2021;5.128431128366018E7;1324658.159676001;45600.85473616148;10.614360083800356;0.0;152008.36844834063;134491.31725657007;96230.19272680799;18048.560745378534;5100.0175259828475;374066.5355718876;2648759.8073953716;105732.32558734831;9191.80786792696;58553.836012000276;60919.31451098457;57245.11110175732;12004.117431028097;2351.7934872767964;269334.7472384699;2553711.8386188434;98940.23728630788;9191.80786792696;93454.53243634036;73572.0027455855;38985.08162505067;6044.4433143504375;2748.224038706051;104731.7883334177;95047.96877652845;6792.088301040436;0.0;
25-Feb-2021;5.1274673787903994E7;1328813.4276259097;46155.14265705789;11.20494798650344;0.0;152044.83121429314;134613.1708635284;95416.21518961375;18041.484238157984;5120.259897913931;375002.465235446;2651270.3008975373;105797.21618291528;9191.80786792696;58221.11328018489;60662.29511829181;56624.75048311664;11963.109389094978;2351.1176233422843;269134.2418464364;2555516.5093457834;98970.09710050246;9191.80786792696;93823.71793410824;73950.87574523657;38791.46470649712;6078.374849063005;2769.1422745716463;105868.2233890096;95753.79155175382;6827.119082412808;0.0;
25-Feb-2021;5.1265762862581655E7;1332551.9575625046;46700.65186430665;11.20494798650344;0.0;152063.88105922512;134731.79353726684;94555.85430719511;18034.606385562452;5140.526712282028;375997.6071803963;2653787.266357186;105862.1871879012;9191.80786792696;57881.992890942565;60403.66263041568;55985.98744852901;11922.160312325042;2350.388091907944;268956.5973267145;2557319.9127089754;98999.86698519338;9191.80786792696;94181.88816828254;74328.13090685118;38569.8668586661;6112.446073237409;2790.1386203740835;107041.00985368184;96467.35364821054;6862.320202707823;0.0;
25-Feb-2021;5.125685448982395E7;1336290.1954215893;47246.13585477312;11.20494798650344;0.0;152080.19164671123;134847.05378026154;93703.30255042041;18027.919833273016;5160.873720632944;376997.6589401577;2656310.9186785603;105927.23882735823;9191.80786792696;57542.855161921725;60143.401763023685;55353.31655019769;11881.266865856347;2349.624089131708;268777.24995488534;2559122.1196192065;99029.54687039631;9191.80786792696;94537.33648478951;74703.65201723785;38349.98600022272;6146.652967416669;2811.2496315012368;108220.40898527234;97188.79905935381;6897.691956961922;0.0;
25-Feb-2021;5.1247948583687216E7;1340028.2002279956;47791.5856577371;11.20494798650344;0.0;152093.85080249808;134958.98151261616;92858.37975812578;18021.41730513562;5181.298273066797;378002.52293514286;2658841.290444965;105992.37165944032;9191.80786792696;57203.744267586175;59881.56604921964;54726.64931398799;11840.4258128312;2348.824800200492;268596.13845016924;2560923.1184569285;99059.13680262718;9191.80786792696;94890.1065349119;75077.41546339652;38131.73044413779;6180.991492304418;2832.4734728663047;109406.38448497365;97918.17198803638;6933.234856813146;0.0;
25-Feb-2021;5.1239045133885935E7;1343765.9776816245;48337.00108392732;11.20494798650344;0.0;152104.94240233855;135067.60823137756;92020.90992382812;18015.091663837884;5201.797765644799;379012.1022574646;2661378.413587882;106057.58620479495;9191.80786792696;56864.703069469666;59618.20856384092;54105.89954301529;11799.634040209994;2347.989446258543;268413.2029054019;2562722.8971964335;99088.63681801631;9191.80786792696;95240.23933286888;75449.39966753665;37915.010380812826;6215.45762362789;2853.8083193862562;110598.89935206271;98655.51639144872;6968.949386778631;0.0;
25-Feb-2021;5.123014413130845E7;1347503.5335868835;48882.38194479727;11.20494798650344;0.0;152113.5465587675;135172.9668439549;91190.72112099666;18008.935911306682;5222.36964067113;380026.30071286915;2663922.319391616;106122.88294754339;9191.80786792696;56525.77316358274;59353.38190007389;53490.98325903426;11758.888556573118;2347.117283624816;268228.3847815811;2564521.4434150434;99118.04694286555;9191.80786792696;95587.77339518475;75819.58494388101;37699.73786196241;6250.047354733562;2875.252357046313;111797.91593128805;99400.87597657292;7004.836004677836;0.0;
26-Feb-2021;5.122146082429157E7;1350566.8437585246;49458.99231890791;11.20494798650344;0.0;152118.7387336099;135275.09151237246;90363.73940061551;18002.943188869092;5243.0034803760045;381048.93679297203;2666473.051615695;106188.26228692332;9191.80786792696;56186.5712225234;59087.13814819999;52880.112521482384;11718.186489912296;2346.2049998662974;268043.33562830166;2566318.750029031;99147.36717794744;9191.80786792696;95932.16751108649;76187.95336417247;37483.62687913312;6284.756698956797;2896.798480509707;113005.60116467036;100154.3015866637;7040.895108975882;0.0;
26-Feb-2021;5.121385685029734E7;1352955.9154868678;50066.83402330421;11.20494798650344;0.0;152116.0939201513;135373.89275686833;89522.25920264728;17997.106707619198;5263.665515495441;382097.6789768206;2669030.7260329043;106253.72434385869;9191.80786792696;55845.252281499656;58819.47628582384;52265.575724509785;11677.525053711151;2345.241661688395;267865.72476889705;2568114.841193435;99176.59743533294;9191.80786792696;96270.84163865165;76554.41647104447;37256.68347813751;6319.581653908047;2918.423853807045;114231.95420792354;100915.88483946954;7077.126908525745;0.0;
26-Feb-2021;5.120625649873999E7;1355344.8188056329;50674.640664687795;11.20494798650344;0.0;152110.1810461069;135469.326938598;88683.63255713678;17991.419620152832;5284.3928948724715;383155.0051081942;2671595.4589064308;106319.26925871879;9191.80786792696;55503.777099276485;58550.4144502012;51654.98721273759;11636.90148702738;2344.239703108799;267687.84599739977;2569909.7409396814;99205.73763692685;9191.80786792696;96606.40394683043;76918.9124883968;37028.645344399185;6354.518133125452;2940.153191763673;115467.15911079444;101685.71796674927;7113.531621791939;0.0;
26-Feb-2021;5.1198659745226935E7;1357733.5885792114;51282.40814569387;11.20494798650344;0.0;152101.07009023972;135561.40809889953;87847.76859449485;17985.875165018402;5305.183102262705;384220.7938450981;2674167.3073675404;106384.89738571693;9191.80786792696;55162.19227824979;58279.99458260181;51048.31869647535;11596.313119263232;2343.1984673365173;267509.61419761745;2571703.4471866987;99234.78777835351;9191.80786792696;96938.87781198992;77281.41351629773;36799.44989801949;6389.5620457551695;2961.984634926187;116711.17964748065;102463.86018084172;7150.10960736343;0.0;
26-Feb-2021;5.119106662009531E7;1360122.2232586488;51890.136347190244;11.20494798650344;0.0;152088.82825802482;135650.1518624693;87014.57917814486;17980.4666888741;5326.033654718551;385294.92397;2676746.327734565;106450.6090453509;9191.80786792696;54820.54326922473;58008.2586208562;50445.54304830116;11555.757378681325;2342.1173256017314;267330.9454497895;2573495.9572868925;99263.74784732566;9191.80786792696;97268.2849888001;77641.8932416131;36569.036129843706;6424.709310192778;2983.9163291168197;117963.97852021047;103250.37044767251;7186.861198025236;0.0;
26-Feb-2021;5.118347715435293E7;1362510.7212591558;52497.825151442135;11.20494798650344;0.0;152073.52012335326;135735.5753049547;86183.97885716053;17975.187647368617;5346.942102974437;386377.2744345451;2679332.5755138863;106516.40452517211;9191.80786792696;54478.87441014851;57735.2484657361;49846.63426530255;11515.231791223825;2340.995676719593;267151.75703963195;2575287.268034198;99292.61782407088;9191.80786792696;97594.64571320475;78000.3268392186;36337.34459185798;6459.955856144792;3005.9464262548436;119225.51739491316;104045.30747968832;7223.786701101226;0.0;
27-Feb-2021;5.117553885687636E7;1365958.8258959698;53106.130730666155;11.322977070413284;0.0;152054.2240884102;135817.69682896507;85351.97587794608;17970.031605824042;5367.882640338903;387471.65673324635;2681926.1185803604;106582.28393691755;9191.80786792696;54136.820374814866;57461.00594955215;49249.9136587104;11474.73397929277;2339.825531554336;266973.62865469226;2577077.381239633;99321.3976362157;9191.80786792696;97917.40371359535;78356.69087941293;36102.06221923568;6495.29762653127;3028.057108784567;120498.02807855408;104848.73734072725;7260.886300701844;0.0;
27-Feb-2021;5.116584580105926E7;1370466.6326321801;53715.041920128715;11.559030573766702;0.0;152023.0641739224;135896.37797716327;84486.74138460791;17964.992157941087;5388.760317229216;388610.03784856445;2684527.144719871;106648.24665148588;9191.80786792696;53791.18648919698;57185.5077663358;48641.97670840144;11434.261624015187;2338.5771397641875;266809.99389377894;2578866.3490310195;99350.08698070257;9191.80786792696;98231.87768472543;78710.87021082746;35844.76467620647;6530.730533925899;3050.183177465028;121800.04395478552;105660.79568885182;7298.159670783314;0.0;
27-Feb-2021;5.1156164679642096E7;1374974.3312189719;54323.902858164;11.795073183337157;0.0;151981.13590487654;135971.3893408312;83591.85595014744;17960.062658201186;5409.690001406025;389788.91895656404;2687135.937128909;106714.29216485894;9191.80786792696;53442.52829300904;56908.69473622614;48024.497545314836;11393.812346240653;2337.2872782409736;266659.20601815375;2580654.2630396634;99378.6855992979;9191.80786792696;98538.6076118675;79062.69460460504;35567.3584048326;6566.2503119605335;3072.402723165051;123129.71293841029;106481.67408924567;7335.606565561047;0.0;
27-Feb-2021;5.114649595231353E7;1379481.7597870622;54932.725266921836;12.031103345968358;0.0;151928.55432002776;136042.53199634037;82667.79478695184;17955.236232755382;5430.6690273871955;391007.9828005024;2689752.7662144266;106780.42066237557;9191.80786792696;53090.974323347;56630.521754597445;47397.831841550695;11353.383713540523;2335.9553417939123;266520.95616218454;2582441.2083426923;99407.19345674945;9191.80786792696;98837.57999668075;79412.01024174292;35269.962945401145;6601.852519214858;3094.7136855932836;124487.02663831784;107311.55787173405;7373.227205626121;0.0;
27-Feb-2021;5.1136839816400155E7;1383988.9178208977;55541.509525019865;12.267121084705169;0.0;151865.44322576892;136109.61710219787;81715.02740560984;17950.505805181434;5451.6946293358815;392266.9051036353;2692377.900233286;106846.63229487953;9191.80786792696;52736.65359577937;56350.94903383769;46762.3299232776;11312.973253083426;2334.580712090807;266394.934987676;2584227.267945333;99435.61051063656;9191.80786792696;99128.78962998957;79758.66806836017;34952.69748233224;6637.532552098009;3117.113917245074;125871.97011595932;108150.63228795322;7411.021784242964;0.0;
27-Feb-2021;5.112719645677986E7;1388495.804838294;56150.25601780077;12.503126421830585;0.0;151791.93493783052;136172.46582585433;80734.01801974664;17945.86411409502;5472.763948021795;393565.35462417366;2695011.605245391;106912.92717790249;9191.80786792696;52379.695499801535;56069.94194170081;46118.33694608722;11272.578460575149;2333.1627602337053;266280.8327718323;2586012.5227780384;99463.93671130078;9191.80786792696;99412.23943802899;80102.52388415352;34615.68107365943;6673.285653519872;3139.6011877880896;127284.52185234138;108999.08246735252;7448.990466601707;0.0;
28-Feb-2021;5.111757218853358E7;1393049.4645413617;56696.47045615682;12.62112599272351;0.0;151707.21691923274;136230.9092655871;79721.13011776493;17941.30373041643;5493.840738615378;394907.1223325414;2697654.158905872;106979.30518965163;9191.80786792696;52019.84074467576;55787.47084195823;45464.515796611675;11232.19680883506;2331.690691810678;266180.0269177302;2587797.0573495766;99492.17194040734;9191.80786792696;99687.37617455696;80443.43842362889;34256.61432115326;6709.106921581372;3162.1500468047;128727.09541481119;109857.10155629541;7487.133249244289;0.0;
28-Feb-2021;5.110798172709549E7;1397649.941535763;57180.13957135793;12.62112599272351;0.0;151617.6441904296;136284.7746772418;78706.561765505;17936.8170478707;5514.790231970433;396262.2631574371;2700305.7512147836;107045.76517761915;9191.80786792696;51659.74500267574;55503.50537435252;44813.34056434319;11191.82574443602;2330.123873571329;266080.11312213546;2589580.9192122244;99520.31577029872;9191.80786792696;99957.89918775386;80781.26930288927;33893.2212011618;6744.99130343468;3184.6663583991035;130182.15003530163;110724.83200255941;7525.449407320425;0.0;
