Date;New E from E;New E From I;New E From Iu;New E From HR;New E From HD;New E (total);New Cases;New Hos;New Deaths;New E from E1;New E From I1;New E From Iu1;New E From HR1;New E From HD1;New E (total)1;New Cases1;New Hos1;New Deaths1;New E from E2;New E From I2;New E From Iu2;New E From HR2;New E From HD2;New E (total)2;New Cases2;New Hos2;New Deaths2;
10-May-2021;1074.8046242140424;2630.0666557150257;1625.7532900341346;163.02044273877294;15.351846821229934;5508.996859523206;3134.4687010553134;385.15276454562104;93.6568414266834;790.6978043101093;2065.6813000691786;1389.4550853182682;143.9062011505561;12.710255455225697;4402.450646303338;2745.7651580639367;337.39020621431536;84.55189501906472;284.10681990393306;564.3853556458472;236.29820471586638;19.11424158821687;2.6415913660042367;1106.546213219868;388.7035429913766;47.762558331305684;9.104946407618689;
11-May-2021;1074.0874508669303;2627.155147906646;1623.1094773248383;162.72390054752435;15.329685604644267;5502.405662250585;3129.2648398896486;384.5133319318602;93.4839333557335;788.161563697697;2059.1309635628954;1385.2554055669916;143.48274095005817;12.67085269521386;4388.701526472857;2737.930492898955;336.4275094272758;84.31663891358221;285.9258871692333;568.0241843437507;237.85407175784673;19.241159597466165;2.6588329094304073;1113.7041357777275;391.33434699069346;48.08582250458437;9.167294442151293;
11-May-2021;1073.70346193787;2625.069268702003;1620.9692476643502;162.4776670444789;15.312302106327845;5497.531947455031;3124.0971116311707;383.8783392058192;93.31189621489526;785.8634568977537;2053.212898286846;1381.478273692506;143.10302190726114;12.635323064506908;4376.292973848875;2730.114914246129;335.46715792539413;84.08185584912428;287.8400050401163;571.8563704151566;239.4909739718442;19.374645137217748;2.6769790418209363;1121.2389736061557;393.9821973850416;48.41118128042508;9.23004036577098;
11-May-2021;1073.3409887333669;2623.0226342529772;1618.8465828607589;162.23300449407827;15.295107124999088;5492.73831746618;3118.9654756922023;383.24778138022344;93.14073479571569;783.5735164744372;2047.309362743916;1377.708257069102;142.72401602222132;12.599866421812997;4363.915018731489;2722.318303327603;334.5091371136547;83.84754786776249;289.7674722589298;575.7132715090613;241.1383257916569;19.50898847185694;2.6952407031860917;1128.823298734691;396.64717236459927;48.738644266568784;9.2931869279532;
11-May-2021;1073.000001671415;2621.0156400334013;1616.7415754035817;161.98991929749653;15.278101763886268;5488.025238169781;3113.8703093185773;382.6217048097473;92.97045395749426;781.2916494569989;2041.42051534531;1373.9453784470093;142.34572410641172;12.564483069178072;4351.567750424908;2714.5408730772087;333.5534731566365;83.61371704336209;291.70835221441604;579.5951246880912;242.79619695657237;19.644195191084805;2.7136186947081957;1136.4574877448727;399.32943624136857;49.06823165311081;9.356736914132172;
11-May-2021;1072.6804759454774;2619.0486664165605;1614.654320170166;161.7484180245786;15.261287161719201;5483.393167718503;3108.811971464623;382.0001536014675;92.80105874065627;779.0177660482171;2035.5465021538928;1370.1896617632437;141.96814705736853;12.529173326879533;4339.251250349602;2706.782820018722;332.60019020250724;83.38036557109999;293.6627098972603;583.5021642626679;244.46465840692224;19.78027096721008;2.732113834839668;1144.1419173689005;402.0291514459012;49.39996339896027;9.420693169556293;
11-May-2021;1072.3823913461517;2617.1220795374443;1612.5849142273412;161.50850740269016;15.244664488854221;5478.842557002481;3103.7908038008745;381.3831697386876;92.63255434436454;776.7517794923093;2029.68745753259;1366.4411319931978;141.5912858501604;12.493937530606644;4326.965592398864;2699.044325126384;331.649310488761;83.14749574870899;295.6306118538425;587.4346220048542;246.14378223414334;19.91722155252975;2.750726958247577;1151.8769646036176;404.74647867449056;49.733859249926624;9.48505859565555;
12-May-2021;1071.7671866217283;2614.410402765562;1610.0248885180365;161.21926901783232;15.223426229588217;5472.645173152747;3098.807131672908;380.7707931987562;92.46494610577432;774.2490393042198;2023.204423159343;1362.2695068485352;141.17054914922636;12.454841843956348;4313.34836030528;2691.3255546437877;330.70085444284024;82.9151099591135;297.5181473175087;591.2059796062194;247.7553816695013;20.048719868605954;2.7685843856318675;1159.2968128474672;407.48157702912005;50.06993875591597;9.549836146660816;
12-May-2021;1071.5019608307457;2612.5658198294477;1607.9921209196098;160.98263512454326;15.207196137358647;5468.249732841705;3093.8608233955747;380.163007800654;92.29823934288268;771.9926999362452;2017.3772542486754;1358.536607530374;140.79524131957464;12.419766059096872;4301.121569093966;2683.6263131465603;329.7547980516684;82.68321054572868;299.50926089450047;595.1885655807725;249.45551338923568;20.187393804968636;2.7874300782617736;1167.1281637477389;410.2345102490142;50.40820974898562;9.615028797153997;
12-May-2021;1071.2583621910758;2610.7618658693896;1605.9774912292557;160.74761191387248;15.191161434921163;5463.936492638514;3088.951766550639;379.5597997308137;92.13243894760058;769.7441938721963;2011.5648863719666;1354.8109672769604;140.4206521000374;12.38476517655634;4288.925464797717;2675.9464200310163;328.8111191232839;82.45179949177862;301.51416831887946;599.1969794974228;251.16652395229545;20.3269598138351;2.806396258364823;1175.0110278407976;413.005346519623;50.74868060752983;9.680639455821968;
