Date;S;V1;V2;E;I;Iu;HR;HD;Q;R;D;Du;E1;I1;Iu1;HR1;HD1;Q1;R1;D1;Du1;E2;I2;Iu2;HR2;HD2;Q2;R2;D2;Du2;
04-Jan-2021;5.399309144113571E7;0.0;0.0;225741.60358696524;216308.17348258564;229447.85871283486;31166.07395993802;3271.7362333595142;496843.5702915446;1769274.6378436307;82338.9252005774;9191.80786792696;225711.96493564447;216286.55101060722;229433.2210944796;31164.462014666435;3271.4858519144022;496827.6699885045;1769268.5769591876;82338.35756826524;9191.80786792696;29.638651320779864;21.6224719784175;14.637618355241107;1.6119452715869917;0.2503814451121782;15.90030304010963;6.060884443146679;0.5676323121631569;0.0;
05-Jan-2021;5.398671502137485E7;0.0;0.0;225284.29507805017;215937.79802718526;229085.90430815052;31153.91513490635;3267.6028617284633;496741.2629083739;1772604.6224844453;82447.91418549555;9191.80786792696;225254.41894597054;215915.9975326843;229071.14869458714;31152.286776937442;3267.3503285167044;496725.16323887423;1772598.454352575;82447.33817127244;9191.80786792696;29.876132079632818;21.800494500962788;14.755613563391744;1.6283579689068761;0.2525332117587492;16.099669499644637;6.168131870344899;0.5760142231110057;0.0;
05-Jan-2021;5.3980349438007176E7;0.0;0.0;224829.98276733852;215565.96058054885;228731.69842085094;31141.297047133816;3263.4279099766054;496626.84547113266;1775933.88077528;82556.7646983573;9191.80786792696;224799.86709597366;215543.98079351266;228716.8230123067;31139.65217796508;3263.1732102906567;496610.5460032162;1775927.6040581875;82556.18023025256;9191.80786792696;30.115671364863893;21.979787036193418;14.875408544228103;1.6448691687355759;0.254699685948622;16.29946791647367;6.276717092629185;0.5844681047394619;0.0;
05-Jan-2021;5.3973990575407356E7;0.0;0.0;224382.61137588575;215192.87748879744;228391.3225231244;31128.22282306329;3259.2120910152253;496494.0781813857;1779262.310630216;82665.4753650405;9191.80786792696;224352.25361897447;215170.71710994528;228376.3248752114;31126.561343259214;3258.955210017237;496477.579127786;1779255.9239893714;82664.88237059103;9191.80786792696;30.357756911286785;22.160378852165067;14.997647912985308;1.6614798040759617;0.25688099798862274;16.499053599711086;6.386640844724482;0.5929944494717493;0.0;
05-Jan-2021;5.396763829705355E7;0.0;0.0;223942.10820321486;214818.79535671172;228064.45437409607;31114.695944091232;3254.9562098244337;496343.11234160134;1782589.7895578314;82774.04483672116;9191.80786792696;223911.50577993775;214796.453052954;228049.3320402697;31113.017753241213;3254.697132534906;496326.4139187958;1782583.2916561433;82773.4432429669;9191.80786792696;30.60242327709122;22.342303757723563;15.12233382636593;1.678190850018981;0.25907728952777764;16.698422805537806;6.497901688136565;0.6015937542636893;0.0;
05-Jan-2021;5.39612924658605E7;0.0;0.0;223508.40327370376;214443.9505788324;227750.78178163772;31100.720241836054;3250.661160199905;496174.1016385638;1785916.1960888705;82882.47179288825;9191.80786792696;223477.55356823263;214421.42498334235;227735.53231237092;31099.02523851108;3250.399871486219;496157.2040665566;1785909.5855907106;82881.86152636725;9191.80786792696;30.84970547112552;22.525595490027875;15.249469266811296;1.6950033249730652;0.26128871368602413;16.897572007180468;6.610498160003926;0.6102665209839193;0.0;
05-Jan-2021;5.395495294422727E7;0.0;0.0;223081.4292082123;214068.56975346158;227450.0022996464;31086.299877891553;3246.327917069169;495987.2019392391;1789241.4097915436;82990.75494417605;9191.80786792696;223050.329569255;214045.8594657312;227434.62324161144;31084.587959601497;3246.0644016345213;495970.1054413548;1789234.685362769;82990.13593091926;9191.80786792696;31.099638957301856;22.710287730396736;15.379058034963686;1.7119182900581653;0.2635154346477602;17.096497884321522;6.724428774517136;0.6190132567894824;0.0;
06-Jan-2021;5.3948619594082244E7;0.0;0.0;222661.12110228644;213692.87007936524;227161.8229349938;31071.439324471103;3241.957529253169;495782.5710962448;1792565.3112854864;83098.8930349481;9191.80786792696;222629.76884262715;213669.97366524546;227146.31183025127;31069.71038762257;3241.6917716258927;495765.275898932;1792558.4715934622;83098.2652004736;9191.80786792696;31.352259659309112;22.896414119771695;15.511104742530476;1.7289368485321461;0.2657576272761878;17.29519731279507;6.839692024268176;0.6278344744882148;0.0;
06-Jan-2021;5.394229305616621E7;0.0;0.0;222246.64496307433;213317.05200763216;226883.87762270597;31056.143342734522;3237.5511117052474;495562.4591446736;1795887.7892603346;83206.88484563073;9191.80786792696;222215.03745892248;213293.968000355;226868.23223248875;31054.39728258968;3237.283096228621;495544.9652518554;1795880.8329731973;83206.24811493784;9191.80786792696;31.607504151835816;23.084007277155695;15.64539021721926;1.7460601448418307;0.2680154766263281;17.49389281824796;6.956287137169795;0.6367306928865901;0.0;
06-Jan-2021;5.39359740007028E7;0.0;0.0;221837.17032911535;212941.2769473102;226613.86955113927;31040.416931083215;3233.1098290741265;495329.08901144034;1799208.7473967886;83314.72919464372;9191.80786792696;221805.30502480053;212918.0038514974;226598.08785450342;31038.653641723537;3232.8395398978346;495311.3962014642;1799201.6731819457;83314.08349220661;9191.80786792696;31.865304314819788;23.27309581280724;15.781696635839468;1.763289359677246;0.2702891762919998;17.692809976153864;7.074214842938914;0.6457024371018956;0.0;
06-Jan-2021;5.392966233330456E7;0.0;0.0;221432.6408853559;212565.69170212367;226351.62107936083;31024.26527593702;3228.634880379204;495082.58013079053;1802528.0972259373;83422.42493980126;9191.80786792696;221400.515195693;212542.22799481192;226335.70104769114;31022.48465023195;3228.362301452398;495064.6881803002;1802520.9037493044;83421.77018956245;9191.80786792696;32.12568966289501;23.463707311752497;15.920031669699927;1.780625705072092;0.2725789268061217;17.89195049034266;7.193476633015624;0.6547502388201976;0.0;
